review_bucket,comment_text,source_weak_label,source_confidence,source_depression_score,phobert_label,probability,prob_normal,prob_depression,need_review,suggested_label,final_label,reviewer_note,row_id,text_hash
weak_model_disagreement,Hay quá những lời nói ai cũng biết. Phải lì đòn lắm mới lên nói những lời chung chung mà người khác ko dám nói vì ko có gì mới.,normal_auto,medium,-2,depression,0.5036,0.4964,0.5036,True,depression,,,s8-0000,83e46f575a
weak_model_disagreement,"Bai nay hay qua,nghe ma tuong minh đang that tinh.",normal_auto,medium,-2,depression,0.5104,0.4896,0.5104,True,depression,,,s8-0001,80af04117d
weak_model_disagreement,"video này đã đăng vào 1 năm trước, em tìm được trong lúc bản thân cũng đang mắc kẹt ở chính tâm trạng của mình, một sự trùng hợp có sắp xếp để gặp chị giang :p",normal_auto,medium,-2,depression,0.517,0.483,0.517,True,depression,,,s8-0002,f0f5dc38fc
weak_model_disagreement,"-Chúc mọi người nghe nhạc vui vẻ : -Lyric : Ver 1 : Tiếng còi xe vang lên inh ỏi vỗ vai đánh thức phút trầm lắng Phố đã lên đèn chỉ muốn bon chen kịp về tới nhà đủ bình xăng Trong túi đếm còn vài đồng bạc lẻ chỉ đủ lót bụng cho bữa ăn tối Khi lương tháng như giọt cà phê có lẽ ngày mai phải vay mượn rồi… Đời công nhân, kiếp làm thuê… không có tiền chẳng ai nể Lặn lội tới đất sài thành dành dụm từng tí để gửi về quê Bao nhiêu điều còn dang dở chỉ biết thở dài rồi để đó Thực sự hôm nay người mệt mỏi lắm lỡ có gục ngã cũng mình tự lo Về căn trọ dù chật hẹp nhưng vẫn là không gian riêng Thả lỏng thân xác đang còn nặng nề với bao nỗi niềm chưa lên tiếng Muốn làm thằng nhỏ chạy nhảy rong chơi Mình đẫm mồ hôi nhưng vẫn thích Còn mồ hôi của hiện tại cứ thấm vị đắng hơi cay mù mịt Nhốt bản thân giữa bốn bức tường dẫu biết cô đơn sẽ làm rơi lệ… Muốn cách ly khỏi sự ồn ào trên tấm chiếu manh cho lưng mọc rễ Con đường đi tới thành công không có dấu chân của sự lười nhác Nhưng cho bản thân lười nhác hôm nay, vì tâm bủn rủn trước sự ngột ngạt Hook : Muốn buông bỏ cái nôi mệt mỏi nhưng mà cuộc sống không cho phép Đồng tiền thống trị tất cả mọi thứ nên tiếp cận nó mình còn hạn hẹp Đời vẫn còn đẹp nếu bản thân còn… sống thật với con người thật Chỉ mong suy tư hãy tới vừa đủ để lại ngày mai ta được thức giấc ( x2 ) Ver 2 : Năm tháng thì vẫn cứ rộng dặn lòng ráng sống nơi miền đất lạ Nơi xứ người lặn lội bương trải một hai đừng bước tới chuyện quá xa Giờ muốn lắm một sự quan tâm dù có nhỏ nhoi nhưng vẫn đủ ấm Chỉ đơn giản một câu hỏi han cần chỉ sướt mướt nhưng vẫn đủ thấm Nếu được chọn ẩn mình trong hoa… thì chỉ muốn thành hoa xương rồng Có thể chống nhiều thứ khắc nghiệt mặc kệ bão tố hay là mưa giông Sông dù nông hay là sâu động lực gia đình chắc tay lái… Cho dù cuộc sống đôi lúc thu hẹp nhưng vẫn không muốn phải mắc lòng ai Nhiều lúc người ta không hiểu… phán thẳng ta không biết điều Miệng đời là những con dao sắc bén thôi kệ không thích nói nhiều Chuyện tình cảm… hay tình nghĩa… nếu cảm thấy được thì ta tới Sống cho bản thân không phải thiên hạ nên cũng buông lơi cho đời thảnh thơi Muốn nghỉ ngơi nhưng tâm lại động… bao nỗi niềm còn đang chất đống Muốn xỏa hết cho đầu này trống đón luồng gió lộng nhưng trời lại giông Ta buông tay giữa màn đêm tối chỉ ta mới biết tay nằm ở đâu Cũng chỉ là ta điều khiển bàn tay nên thôi cũng cố lao vào bể dâu Hook : Muốn buông bỏ cái nôi mệt mỏi nhưng mà cuộc sống không cho phép Đồng tiền thống trị tất cả mọi thứ nên tiếp cận nó mình còn hạn hẹp Đời vẫn còn đẹp nếu bản thân còn… sống thật với con người thật Chỉ mong suy tư hãy tới vừa đủ để lại ngày mai ta được thức giấc ( x2 )",depression_auto,medium,6,normal,0.5195,0.5195,0.4805,True,normal,,,s8-0003,19912efab8
weak_model_disagreement,Khúc cuối buồn cười xỉu 🤣🤣🤣,normal_auto,medium,-2,depression,0.5292,0.4708,0.5292,True,depression,,,s8-0004,dfdbca62ec
weak_model_disagreement,minh cung tram cam nang co cgiay xac nhan ne nhung o len khon nạn o nen do thua cho benh tat,depression_auto,medium,5,normal,0.5322,0.5322,0.4678,True,normal,,,s8-0005,93410ba5b9
weak_model_disagreement,Đừng hỏi:” 2020 còn ai xem không” vì chúng ta vẫn luôn ở đây và nghe bài này,normal_auto,medium,-2,depression,0.5363,0.4637,0.5363,True,depression,,,s8-0006,15ec43d081
weak_model_disagreement,Nếu bạn bắt đầu nhìn video ở chân thì sẽ thấy quay theo chiều kim đồng hồ. Còn bạn nhìn trên phần đầu thì sẽ thấy ngược kim đồng hồ. Nhưng phải nhìn từ đầu video.,normal_auto,medium,-2,depression,0.5375,0.4625,0.5375,True,depression,,,s8-0007,f89f30b14c
weak_model_disagreement,"Hồi lớp 5 e có đi thi một vài cuộc thi về tin học của tỉnh và e thấy ""ủa sao nó dễ vậy?"" xong đến lớp 6 lớp 7 lớp 8 e trở nên rụt rè hơn bao giờ hết lúc giơ tay phát biểu hay thuyết trình cũng vậy lúc đó e mới tự hỏi ""ủa sao hồi nhỏ mình đi thi 2 3 năm liền vẫn ko sao mà ta"" đến lúc đó e mới nhận ra là mình đang thật sự quá nhút nhát năm nay e lớp 9 nhờ xem được vd của a mà e đã có can đảm đi thi hsg 1 lần nữa cảm ơn a vì những đóng góp cho xã hội này",normal_auto,medium,-2,depression,0.54,0.46,0.54,True,depression,,,s8-0008,ada141aebd
weak_model_disagreement,"Trung hoa dân quốc có trước cộng hoà nhân dân trung hoa, Đài Loan là phần còn lại của Trung hoa dân quốc và không cần tuyên bố độc lập vì nó đã độc lập.",normal_auto,medium,-2,depression,0.5412,0.4588,0.5412,True,depression,,,s8-0009,1e31e929ae
weak_model_disagreement,Bác Sĩ ơi Em vừa thấy quả cầu di chuyển nhẹ và không có chuyển động thì là sao ạ 🥺,normal_auto,medium,-2,depression,0.5425,0.4575,0.5425,True,depression,,,s8-0010,06ae2a9220
weak_model_disagreement,"30/07/02024 Thầy thật sự là cứu rỗi cho cuộc đời con ạ, mỗi lần con cho đen trầm cảm quay trở lại thì con lại mở video của thầy lên nghe, và khi giọng thầy cất lên thì tâm hồn con trở nên nhẹ nhõm. Cầu mong cho sự bình an trong tâm hồn để không phải mãi đi tìm nữa",depression_auto,medium,5,normal,0.5439,0.5439,0.4561,True,normal,,,s8-0011,9569d98e28
weak_model_disagreement,Ông ad hiểu biết ghê ha. Đài loan là ngta kêu cho vui. Nó là trung hoa dân quốc. 1 trong 5 nước thường trực của liên hiệp quốc. Sau trung cộng hối lộ cướp cái ghế đó. Trước thập niên 70 cái chính quyền của tập cận bình có ghế thường trực ko. Tìm hiểu trước khi nói. Thằng đài loan bạn nói nó tuyên bố chủ quyền cả cái nước trung hoa. Nhưng do thua trận nó kiểm soát dc đảo đài loan. Chính quyền tưởng giới thạch chưa sụp đổ.,normal_auto,medium,-2,depression,0.5489,0.4511,0.5489,True,depression,,,s8-0012,973dd9b8fe
weak_model_disagreement,Mình cũng suy nghi rất nhiều. Rất muốn chết luôn nhưng mà mình vẫn còn thương em mình lắm. K biết nói với ai cha mẹ k bảo giờ hiểu và nghe mình,depression_auto,medium,5,normal,0.5491,0.5491,0.4509,True,normal,,,s8-0013,62f75341f2
weak_model_disagreement,Có loại người như vậy thật đó bạn _khi đi chơi ở Phú quốc 3 ngày...vào quán cafe (Đắng) tại Dương Đông...cách trước cửa quán 5m..tôi nhặt cái bóp (ví) cộm tiên..đếm đại khái tiền giấy 500n trên 30 tờ...và tiền nhỏ hơn(ko đếm ?)..và 7 tờ 100 dollar..cùng giấy xe..bằng lái (ko thấy CMND) thời còn CMND _Vào quán..tôi gọi tên trên giấy...có Anh kia hỏi (sao biết tên tôi ?)..và đối chiếu mặt và trong ảnh bằng lái..tôi thấy giống nhau..nên tôi nói đã nhặt trước quán..đưa lại cho Anh ta nguyên vẹn cái bóp (ví)..Anh ta mở ra xem..xong gấp lại..bỏ vào túi quần dài _ko thèm nói cám ơn..hay 1 câu gì đó..cho có chút nhân văn trong cuộc sống _và lần đầu trong đời..tôi biết loại người (máu lạnh cá sấu)..là có thật..kể cả lúc mình đem lợi ích đến cho họ ?,normal_auto,medium,-2,depression,0.5502,0.4498,0.5502,True,depression,,,s8-0014,06cb85a406
weak_model_disagreement,"Video nội dung rất hay, nhưng nguyên nhân chính của bệnh này k phải do mxh và internet - vốn chỉ làm nó nặng lên thôi, mà là do cách gia đình nuôi dạy từ nhỏ + những chấn thương tâm lý gặp trong đời",normal_auto,medium,-2,depression,0.5511,0.4489,0.5511,True,depression,,,s8-0015,07d2ecd2bd
weak_model_disagreement,Không thích quản cáo xen vào bạn ơi,normal_auto,medium,-2,depression,0.5519,0.4481,0.5519,True,depression,,,s8-0016,ab61e51609
weak_model_disagreement,"Bài này làm tôi nhớ đến một lần vô tình gặp cô bạn thân trên đường, ánh đèn đường rọi lên bóng hình mảnh khảnh ấy, một tay cầm đôi cao gót, chân trần đi trên đường. Đôi chân nhỏ bước đi nhẹ nhàng, tấm lưng thẳng tắp, tự tin mà đi mặc người dòm ngó, tôi còn thấy cô ấy mỉm cười nhẹ nhàng, không chút lo âu như thể ánh nhìn của người ngoài chẳng thể nào ảnh hưởng đến cô ấy. Lúc đó tự nhiên cảm thấy ngưỡng mộ, mấy ai có thể tự nhiên bỏ ngoài tai lời bàn tán từ bên ngoài, tự tin mà sống theo cách mình muốn chứ.",depression_auto,medium,6,normal,0.5526,0.5526,0.4474,True,normal,,,s8-0017,caf2a8e396
weak_model_disagreement,"Nội dung rất hay, đúng lúc mình cần. Phải ghim cái suy nghĩ chỉ tập trung vào những điều mình có thể kiểm soát nên đầu ghi chú để đọc mỗi ngày. Cuộc sống đôi khi rối tung nên làm quên đi những thứ quan trọng và làm mình căng thẳng lo lắng",normal_auto,medium,-2,depression,0.5544,0.4456,0.5544,True,depression,,,s8-0018,b84a8c9988
weak_model_disagreement,Tôi tập bài hít thở mỗi ngày cam on kim ba,normal_auto,medium,-2,depression,0.5595,0.4405,0.5595,True,depression,,,s8-0019,35c0fd291c
