comment_text,label,source,weight
"Bạn ơi bạn làm playlist có bài hóa ra của tkie được k ạ, mình mới vô tình nghe được thấy cũng hợp vibe lắm",0,phobert_v2_confident,1
"Mở mắt ra , mình chỉ muốn chết.",1,phobert_v2_confident,1
hôm sau nó nói: ô ai biết j đou:)),0,phobert_v2_confident,1
"Hay lắm ạ anh, nghe ở chương trình CSMN mà hóng MV quá trời 😍😍😍 Giai điệu hay da diết, nghe em thấy 1 chút buồn, 1 chút tiếc nuối, đau đáu ở trong tim. Cám ơn anh Luân đã ra mắt 1 ca khúc hay và tuyệt vời như này ạ 🥰🥰🥰Chúc anh sẽ thật nhiều sức khỏe và thành công hơn nữa trên con đường sự nghiệp nhé 🍀🍀🍀",0,weak_high_conf,2
"Một ca khúc, một cuộc tình.",0,phobert_v2_confident,1
Thà cháy hai chân còn hơn 4 chân:),0,phobert_v2_confident,1
Em rất biết ơn khi nghe những gì chị chia sẻ. Em thực sự vẫn chưa trưởng thành và chưa dám đối diện với sự thật là mình chia tay với người ấy mặc dù biết rằng 2 đứa không có tương lai trong mối quan hệ này. Em rất buồn vì mình không đủ tốt để níu giữ người mình thương. Em khóc rất nhiều và không ngừng lại được. Thật tình cờ thì Con Thỏ cũng là biệt danh của người ấy mà em đặt. Hiện tại em rất đau lòng .,1,phobert_v2_confident,1
May mà nó là robot chứ là người chắc thấy thôi là xin nghỉ r😂😂😂,0,phobert_v2_confident,1
Toi cung la bệnh nhan tram cam Thực sự can bệnh nay qua khủng khiếp toi đang đấu tranh voi no từng ngay nhieu lúc cam giác nhu k cố dc nua . Khong biết t phai chịu đựng toi bao gio,1,phobert_v2_confident,1
Qua hay luon,0,human_gold,3
"Tôi chọn nghe nhân vật hôm nay vì thích nghe các nhà báo nói chuyện. Và quả thật luôn là rất thú vị, nhiều kiến thức xa rộng qua trãi nghiệm của các chị. Lại thấy hiểu yêu con người Việt Nam nhiều hơn ! Cảm ơn chương trình! Rất hay !",0,weak_high_conf,2
Cái này nên áp dụng trong các trường học ở V N......,0,phobert_v2_confident,1
5 cách vượt qua cả thèm chóng chán 1. Lưu giữ khoảnh khắc tràn đầy động lực và lý do bắt đầu 2. Vượt chướng ngại vật 3. Liệt kê khó khăn sẽ gặp phải 4. Việc 5 phút 5. Có kiên nhẫn mới có yêu thích,0,phobert_v2_confident,1
"Xưa mình có 2 người bạn, chúng như 2 kẻ thù,một đứa nói dù hết đàn ông nó cũng không lấy bạn này,anh kia cũng thế,vậy mà có 4 đứa con rồi đấy.",0,phobert_v2_confident,1
"Mình đã từng có chuỗi ngày mình cười rất nhiều, chuyện gì cũng cười không biết tại sao, sao có thể cười khi ấy và rồi mỗi tối trước những giấc ngủ mình luôn loay hoay trong mớ suy nghĩ tiêu cực về mọi chuyện hôm nay, chuyện trong quá khứ. Và bây giờ, mình cảm thấy có thứ gì đó đang lớn lên trong tâm mình, bây giờ mình không còn cười nhiều như trước nữa, những nụ cười dễ dàng xuất hiện của ngày ấy giờ đây hiếm khi xảy ra, không hiểu sao bây giờ mình cảm thấy mọi thứ thật nhàm chán, vô vị. Những nụ cười xưa kia giờ đã được thay thế bởi ánh mắt vô cảm, mình thấy thế giới này thật tẻ nhạt..",1,phobert_v2_confident,1
"Nghe ma nghi cuoc doi minh vo nghia,that ton thuong va rat nhieu cay dang,nuoc mat khong ngung roi",1,weak_high_conf,2
Đức Phúc hát ballad hợp thật sự Mình thích những bài xử lý đơn giản mà day dứt như này❤,0,phobert_v2_confident,1
"K giữ được a, đánh mất a, đó là điều e hối hận nhất. Là e đã đánh mất bầu trời đẹp nhất trong cuộc đời e rồi... 17 năm rồi, giờ a đang nơi đâu, cuộc sống của a thế nào rồi... k biết cuộc đời này, e còn có cơ hội được thấy a thêm một lần nữa không.... a vẫn sẽ luôn là Hoàng Tử Gió trong trái tim em. Trước đây. Bây giờ. Và sau này cũng vẫn luôn là như thế... yêu anh...",1,phobert_v2_confident,1
"Chị cũng đã từng trầm cảm, chọn cách sống chậm lại, đối diện nỗi đau , nhận diện cảm xúc và buông. Nếu sống với tư duy nạn nhân, đổ lỗi và phán xét thì sẽ mãi suy sụp, trầm cảm",1,weak_high_conf,2
Em thất vọng về ba mẹ em lắm sao ai cũng quay lưng với em sao ko ai bênh em em sợ nhất là về nhà😢😢,1,phobert_v2_confident,1
em đâu có cô đơn 😗 em có Sun mỗi lần buồn em lại lấy video Sunn ra xem ❤️❤️ em có ba có mẹ em có Sun nữa ❤️❤️,0,phobert_v2_confident,1
"Nói thật thì tâm lý của nhân vật Kim gần như chính là tâm lý của chính tôi trong vài năm trở lại đây, mặc dù là cuộc sống của tôi chưa trở nên cực đoan như các nhân vật trong phim. Nhưng cảm giác từ 1 người có thu nhập tốt, có nhiều mqh xã hội thì bỗng dưng ngày qua ngày bị phụ thuộc tài chính và gần như thành người làm thuê cho vợ của mình, nó khó chịu vô cùng. Thậm chí đã có nhiều lần tôi có ý định tự tử để giải thoát bản thân khỏi cảm giác bất lực vì thua kém của mình. Tuy nhiên, vào vài tháng trước, sau khi vô tình nghe qua bài giảng pháp thoại của thầy Pháp Hòa thì tôi cảm giác như được giác ngộ phần nào, từ đó thường xuyên tìm hiểu về các bài giảng pháp cũng như thiền định, tôi cũng thường nghe các bài của thầy Minh Niệm để hỗ trợ tu thiền. Dần dần thì tôi đã trở nên bình tâm hơn và hiện đang nỗ lực cải thiện bản thân cũng như tu dưỡng tâm trí của mình.",1,weak_high_conf,2
Thật là mai mắn chị hoa ơi chị thật là quá tuyệt vời đúng là anh cường vô cùng quá hạnh phúc,0,phobert_v2_confident,1
Bài này hay quá bài này như tâm trạng từng trải cảm động rớt nước mắt bài này có chất gây nghiện tuyệt vời quá Đạt G ơi,0,weak_high_conf,2
....buồn ko ai thấu ......chỉ có thể nghe nhạc để diết đi thời gian .....thế gian này bất công với tôi quá,1,phobert_v2_confident,1
Bộ phim quá hay bà nôi và chắt bè đóng vai thât tưyêt vời cám n nhà làm phim ❤❤❤❤❤,0,human_gold,3
