"annotation_id","annotator","created_at","final_label","id","lead_time","reviewer_note","row_id","text","updated_at"
1751,"1","2026-06-24T08:42:30.284633Z","normal",1751,795.513,"","r3-0000","cảm ơn thầy. e đã cảm nhậ đc điề này","2026-06-24T08:42:30.284650Z"
1752,"1","2026-06-24T08:42:47.512747Z","normal",1752,16.332,"","r3-0001","Em thường coi đi coi lại mấy video này mỗi lúc mình yếu mềm, mà mỗi lần xem lại là mỗi lần ngộ ra điều mới và tiếp thêm năng lượng trên chặng đường phát triển bản thân. Em đã từng sắp gục ngã và dường như thua cuộc, trách móc bản thân trước những cám dỗ và thú vui trước mắt cho đến khi lục lại video này. Ý nghĩa video thâm sâu và bổ ích lắm ạ, +respect for u guys.. Nắm đc quy luật và cơ chế hoạt động của dopamine giúp em hạn chế trì hoãn và kỉ luật hơn hẳn, từng ngày từng ngày em cảm thấy bản thân dc bồi đắp thêm những điều tốt đẹp và ngày càng tốt hơn nữa.. Biết ơn anh Danny..❤","2026-06-24T08:42:47.512765Z"
1753,"1","2026-06-24T08:43:27.052995Z","uncertain",1753,38.626,"Không rõ đây là cú sốc tạm thời hay đã dẫn đến tình trạng trầm cảm kéo dài","r3-0002","Xin hãy chữa lành nổi đau về tiền bạc cho con. Con xin cảm ơn người con mất đi quá nhiều đau xót con đang rán vượt qua","2026-06-24T08:43:27.053013Z"
1754,"1","2026-06-24T08:43:47.701791Z","normal",1754,19.656,"","r3-0003","Hình như toi tung nghe bai nay r Rat hay ma sau khi toi nghe bai nay thi cung phai suy nghi lai r😊 (Loi cua mot cuu sinh vien chuyen van❤❤)","2026-06-24T08:43:47.701809Z"
1755,"1","2026-06-24T08:43:56.537576Z","normal",1755,8.032,"","r3-0004","em cũng đang là sinh viên năm nhất, những gì anh nói đầu video đúng với những gì em suy nghĩ, em cũng muốn sau này start up, khi mà đi học xung quanh các bạn đang đi theo hướng khác mình nhiều khi em cũng cảm thấy rất lạc lõng và nghi ngờ bản thân là mình không giỏi như các bạn khác, cảm ơn video của anh đã giúp em tin tưởng hơn vào quyết định của mình <3","2026-06-24T08:43:56.537593Z"
1756,"1","2026-06-24T08:43:58.918908Z","exclude",1756,1.449,"","r3-0005","Or the nervous system becomes so stressed and sensitized that you develop chronic pain or autoimmune. I had 52 years of chronic stress and pain caused by trauma, and was so burnout i could barely leave the house. My window of tolerance became tiny. Thanks to God my healing journey began last May, and even something as seemingly small as changing my mindset and self talk made a huge difference. As did working out and yoga. Im better now than ive ever been my whole life. ❤","2026-06-24T08:43:58.918925Z"
1757,"1","2026-06-24T08:44:21.112318Z","normal",1757,19.892,"","r3-0006","Chủ đề hôm nay hay quá BS. Ông xã em cũng bị bệnh này nên hiểu. Người bệnh đã mệt, người ở chung cũng mệt theo. Lo âu ngẫu nhiên, lô âu vô cứ, bất cứ lúc nào, cọc cằng, khó chịu, trầm cảm nặng...","2026-06-24T08:44:21.112337Z"
1758,"1","2026-06-24T08:44:23.541213Z","normal",1758,1.559,"","r3-0007","Con cảm ơn thầy, con vừa chia tay, con buồn lắm thầy ạ, con mong sẽ sớm vượt qua được","2026-06-24T08:44:23.541230Z"
1759,"1","2026-06-24T08:44:25.243013Z","normal",1759,0.823,"","r3-0008","thật sự phải cảm ơn mike vì đã tạo ra bài nhạc này, nó thật sự khiến tôi xúc động và kiếm lại được cảm xúc mà tôi cố kìm ném","2026-06-24T08:44:25.243031Z"
1760,"1","2026-06-24T08:44:38.678233Z","depression",1760,12.382,"","r3-0009","Dù con còn nhỏ tuổi nhưng những việc như tự hủy hoại bản thân và tự thân thoát ra khi thầy nói vẫn giúp con nhận ra thêm cả những nỗi sợ sâu hơn nữa con thật sự cảm ơn thầy và em cảm ơn chương trình vì tập đầu trong chuỗi chương trình mới này ạ","2026-06-24T08:44:38.678263Z"
