row_id,text
s8-0000,Hay quá những lời nói ai cũng biết. Phải lì đòn lắm mới lên nói những lời chung chung mà người khác ko dám nói vì ko có gì mới.
s8-0001,"Bai nay hay qua,nghe ma tuong minh đang that tinh."
s8-0002,"video này đã đăng vào 1 năm trước, em tìm được trong lúc bản thân cũng đang mắc kẹt ở chính tâm trạng của mình, một sự trùng hợp có sắp xếp để gặp chị giang :p"
s8-0003,"-Chúc mọi người nghe nhạc vui vẻ : -Lyric : Ver 1 : Tiếng còi xe vang lên inh ỏi vỗ vai đánh thức phút trầm lắng Phố đã lên đèn chỉ muốn bon chen kịp về tới nhà đủ bình xăng Trong túi đếm còn vài đồng bạc lẻ chỉ đủ lót bụng cho bữa ăn tối Khi lương tháng như giọt cà phê có lẽ ngày mai phải vay mượn rồi… Đời công nhân, kiếp làm thuê… không có tiền chẳng ai nể Lặn lội tới đất sài thành dành dụm từng tí để gửi về quê Bao nhiêu điều còn dang dở chỉ biết thở dài rồi để đó Thực sự hôm nay người mệt mỏi lắm lỡ có gục ngã cũng mình tự lo Về căn trọ dù chật hẹp nhưng vẫn là không gian riêng Thả lỏng thân xác đang còn nặng nề với bao nỗi niềm chưa lên tiếng Muốn làm thằng nhỏ chạy nhảy rong chơi Mình đẫm mồ hôi nhưng vẫn thích Còn mồ hôi của hiện tại cứ thấm vị đắng hơi cay mù mịt Nhốt bản thân giữa bốn bức tường dẫu biết cô đơn sẽ làm rơi lệ… Muốn cách ly khỏi sự ồn ào trên tấm chiếu manh cho lưng mọc rễ Con đường đi tới thành công không có dấu chân của sự lười nhác Nhưng cho bản thân lười nhác hôm nay, vì tâm bủn rủn trước sự ngột ngạt Hook : Muốn buông bỏ cái nôi mệt mỏi nhưng mà cuộc sống không cho phép Đồng tiền thống trị tất cả mọi thứ nên tiếp cận nó mình còn hạn hẹp Đời vẫn còn đẹp nếu bản thân còn… sống thật với con người thật Chỉ mong suy tư hãy tới vừa đủ để lại ngày mai ta được thức giấc ( x2 ) Ver 2 : Năm tháng thì vẫn cứ rộng dặn lòng ráng sống nơi miền đất lạ Nơi xứ người lặn lội bương trải một hai đừng bước tới chuyện quá xa Giờ muốn lắm một sự quan tâm dù có nhỏ nhoi nhưng vẫn đủ ấm Chỉ đơn giản một câu hỏi han cần chỉ sướt mướt nhưng vẫn đủ thấm Nếu được chọn ẩn mình trong hoa… thì chỉ muốn thành hoa xương rồng Có thể chống nhiều thứ khắc nghiệt mặc kệ bão tố hay là mưa giông Sông dù nông hay là sâu động lực gia đình chắc tay lái… Cho dù cuộc sống đôi lúc thu hẹp nhưng vẫn không muốn phải mắc lòng ai Nhiều lúc người ta không hiểu… phán thẳng ta không biết điều Miệng đời là những con dao sắc bén thôi kệ không thích nói nhiều Chuyện tình cảm… hay tình nghĩa… nếu cảm thấy được thì ta tới Sống cho bản thân không phải thiên hạ nên cũng buông lơi cho đời thảnh thơi Muốn nghỉ ngơi nhưng tâm lại động… bao nỗi niềm còn đang chất đống Muốn xỏa hết cho đầu này trống đón luồng gió lộng nhưng trời lại giông Ta buông tay giữa màn đêm tối chỉ ta mới biết tay nằm ở đâu Cũng chỉ là ta điều khiển bàn tay nên thôi cũng cố lao vào bể dâu Hook : Muốn buông bỏ cái nôi mệt mỏi nhưng mà cuộc sống không cho phép Đồng tiền thống trị tất cả mọi thứ nên tiếp cận nó mình còn hạn hẹp Đời vẫn còn đẹp nếu bản thân còn… sống thật với con người thật Chỉ mong suy tư hãy tới vừa đủ để lại ngày mai ta được thức giấc ( x2 )"
s8-0004,Khúc cuối buồn cười xỉu 🤣🤣🤣
s8-0005,minh cung tram cam nang co cgiay xac nhan ne nhung o len khon nạn o nen do thua cho benh tat
s8-0006,Đừng hỏi:” 2020 còn ai xem không” vì chúng ta vẫn luôn ở đây và nghe bài này
s8-0007,Nếu bạn bắt đầu nhìn video ở chân thì sẽ thấy quay theo chiều kim đồng hồ. Còn bạn nhìn trên phần đầu thì sẽ thấy ngược kim đồng hồ. Nhưng phải nhìn từ đầu video.
s8-0008,"Hồi lớp 5 e có đi thi một vài cuộc thi về tin học của tỉnh và e thấy ""ủa sao nó dễ vậy?"" xong đến lớp 6 lớp 7 lớp 8 e trở nên rụt rè hơn bao giờ hết lúc giơ tay phát biểu hay thuyết trình cũng vậy lúc đó e mới tự hỏi ""ủa sao hồi nhỏ mình đi thi 2 3 năm liền vẫn ko sao mà ta"" đến lúc đó e mới nhận ra là mình đang thật sự quá nhút nhát năm nay e lớp 9 nhờ xem được vd của a mà e đã có can đảm đi thi hsg 1 lần nữa cảm ơn a vì những đóng góp cho xã hội này"
s8-0009,"Trung hoa dân quốc có trước cộng hoà nhân dân trung hoa, Đài Loan là phần còn lại của Trung hoa dân quốc và không cần tuyên bố độc lập vì nó đã độc lập."
s8-0010,Bác Sĩ ơi Em vừa thấy quả cầu di chuyển nhẹ và không có chuyển động thì là sao ạ 🥺
s8-0011,"30/07/02024 Thầy thật sự là cứu rỗi cho cuộc đời con ạ, mỗi lần con cho đen trầm cảm quay trở lại thì con lại mở video của thầy lên nghe, và khi giọng thầy cất lên thì tâm hồn con trở nên nhẹ nhõm. Cầu mong cho sự bình an trong tâm hồn để không phải mãi đi tìm nữa"
s8-0012,Ông ad hiểu biết ghê ha. Đài loan là ngta kêu cho vui. Nó là trung hoa dân quốc. 1 trong 5 nước thường trực của liên hiệp quốc. Sau trung cộng hối lộ cướp cái ghế đó. Trước thập niên 70 cái chính quyền của tập cận bình có ghế thường trực ko. Tìm hiểu trước khi nói. Thằng đài loan bạn nói nó tuyên bố chủ quyền cả cái nước trung hoa. Nhưng do thua trận nó kiểm soát dc đảo đài loan. Chính quyền tưởng giới thạch chưa sụp đổ.
s8-0013,Mình cũng suy nghi rất nhiều. Rất muốn chết luôn nhưng mà mình vẫn còn thương em mình lắm. K biết nói với ai cha mẹ k bảo giờ hiểu và nghe mình
s8-0014,Có loại người như vậy thật đó bạn _khi đi chơi ở Phú quốc 3 ngày...vào quán cafe (Đắng) tại Dương Đông...cách trước cửa quán 5m..tôi nhặt cái bóp (ví) cộm tiên..đếm đại khái tiền giấy 500n trên 30 tờ...và tiền nhỏ hơn(ko đếm ?)..và 7 tờ 100 dollar..cùng giấy xe..bằng lái (ko thấy CMND) thời còn CMND _Vào quán..tôi gọi tên trên giấy...có Anh kia hỏi (sao biết tên tôi ?)..và đối chiếu mặt và trong ảnh bằng lái..tôi thấy giống nhau..nên tôi nói đã nhặt trước quán..đưa lại cho Anh ta nguyên vẹn cái bóp (ví)..Anh ta mở ra xem..xong gấp lại..bỏ vào túi quần dài _ko thèm nói cám ơn..hay 1 câu gì đó..cho có chút nhân văn trong cuộc sống _và lần đầu trong đời..tôi biết loại người (máu lạnh cá sấu)..là có thật..kể cả lúc mình đem lợi ích đến cho họ ?
s8-0015,"Video nội dung rất hay, nhưng nguyên nhân chính của bệnh này k phải do mxh và internet - vốn chỉ làm nó nặng lên thôi, mà là do cách gia đình nuôi dạy từ nhỏ + những chấn thương tâm lý gặp trong đời"
s8-0016,Không thích quản cáo xen vào bạn ơi
s8-0017,"Bài này làm tôi nhớ đến một lần vô tình gặp cô bạn thân trên đường, ánh đèn đường rọi lên bóng hình mảnh khảnh ấy, một tay cầm đôi cao gót, chân trần đi trên đường. Đôi chân nhỏ bước đi nhẹ nhàng, tấm lưng thẳng tắp, tự tin mà đi mặc người dòm ngó, tôi còn thấy cô ấy mỉm cười nhẹ nhàng, không chút lo âu như thể ánh nhìn của người ngoài chẳng thể nào ảnh hưởng đến cô ấy. Lúc đó tự nhiên cảm thấy ngưỡng mộ, mấy ai có thể tự nhiên bỏ ngoài tai lời bàn tán từ bên ngoài, tự tin mà sống theo cách mình muốn chứ."
s8-0018,"Nội dung rất hay, đúng lúc mình cần. Phải ghim cái suy nghĩ chỉ tập trung vào những điều mình có thể kiểm soát nên đầu ghi chú để đọc mỗi ngày. Cuộc sống đôi khi rối tung nên làm quên đi những thứ quan trọng và làm mình căng thẳng lo lắng"
s8-0019,Tôi tập bài hít thở mỗi ngày cam on kim ba
s8-0020,"Chào Bố ! Vậy là từ giờ phút này trở đi con không được nhìn thấy Bố nữa rồi .Đến tận bây giờ con vẫn hối hận nhiều lắm Bố à . Năm nay con học năm cuối rồi cũng 4 năm xa nhà , con về nhà rất ít kể từ khi con lên Hà Nội . Con xin lỗi bố và con cũng ân hận rất nhiều vì không về nhà nhiều hơn để giờ con về đã không có Bố nữa rồi . Mẹ giờ ở 1 mình buồn lắm bố à . Con thực sự xin lỗi và ân hận rất nhiều chưa thể lo cho bố mẹ 1 chút nào vậy mà giờ đây bố đã đi xa rồi . Con rất biết ơn bố mặc dù tới tận giờ con chưa một lần được nói mạnh dạn “ con cảm ơn bố “ Bố ở nơi phương xa phù hộ cho mẹ mạnh khỏe và các con con yêu bố nhiều lắm Gửi con trai : Con à lúc ba viết lời này là lúc ba 22 tuổi, con sinh ra là điều vô cùng quý giá nhất của cuộc đời Ba , Nhưng ông nội mất rồi sau này con phải thật yêu thương Bà Nội nhé , Ba sẽ làm tất cả vì con , Ba yêu con lắm Mình Đức con trai của Ba ! Bố mẹ đến với nhau sinh ra con , Ba cũng có nhiều Hoài bão nhiều dự định nhưng giờ có lẽ Ba sẽ phải chậm lại 1 nhịp để có thể lo cho con và Mẹ vì gia đình nhỏ này ! Điều này chưa bao giờ làm Ba hối hận cả . Nếu sau này con lớn con nghe được bài này và thấy cmt này bà mong con hãy yêu thương mẹ nhiều hơn vì mẹ đã vất vả vì con . Yêu con lắm Minh Đức (Bonka)"
s8-0021,Phim bố già rồi từ từ mng sẽ quên dần. Nhưng bài hát này của PMQ thì chắc chắn sẽ không bao giờ bị lãng quên.
s8-0022,"Em mới chia tay được vài tuần. Vài tuần qua em nghe đi nghe lại video này của chị không biết bao lần chỉ để tạm thời tự xoa dịu nỗi đau của bản thân. Đến ngày hnay em nghĩ mình đã đến bước 3, em oà khóc nhiều hơn những ngày trước, rồi ngồi nghe lại video này 1 lần nữa, bình tĩnh tự cảm nhận và chấp nhận nỗi buồn của mình, và thấy nhẹ nhõm hơn. Những ngày tháng tới chắc em vẫn chưa thoát ra được khỏi nỗi buồn ngay, nhưng em cảm thấy bản thân không cô độc bởi có chị ở đây gửi cho nhx người như em lời khuyên rất chân thành và cảm thông. Em cảm ơn chị nhiều. Gửi những người đang tan vỡ vì tình yêu, hãy tin rằng những ngày tháng khó khăn này sẽ qua thôi, cùng mạnh mẽ đối diện và vượt qua để tìm thấy bình yên cho bản thân nhé 💕"
s8-0023,Mình là chính mình chứ không thể là nhân vật nhân vật Nó cũng có tư cách riêng của mình và mình cũng phải có tư cách riêng của mình chứ không thể nào nói theo giọng dễ thương của nhân vật nhiều quá Xong rồi quên mất cái giọng của mình rồi sau đó ba mẹ mình cũng sẽ không nhận ra mình đâu
s8-0024,Cảm ợn Better Version 🥰🥰🥰
s8-0025,nghe mà lòng đau từng quặng :( Gigi quá đỉnh!
s8-0026,"Tự nhiên k có động lực như trước K còn đam mê, kể cả đã từng rất thích Ủ rũ, cáu kỉnh vs ng thân. Khó khăn vs cảm xúc Bỏ bê chăm sóc bản thân so vs trước kia Kiệt sức khác lười biếng"
s8-0027,"1. Đừng cam chịu, thẳng thắn chia sẻ với nhau.Mình muốn gì thì cứ nói ra. 2. Chia sẻ việc nhà và nuôi con. 3.Học cách chung sống hòa hợp với mọi người xung quanh, không phán xét, thật thà. 4. Học cách giải phóng cảm xúc tiêu cực, chữa lành, nhìn người khác với con mắt yêu thương. 5.Đừng bỏ quên bản thân mình. Chăm nom, quan tâm cơ thể và tinh thần của mình hơn. CẢM ƠN CÔ LANH RẤT NHIỀU."
s8-0028,ừ ba t cx kh cho t đóng cửa trừ khi thay quần áo
s8-0029,Chi ơi..e khô wá..em cang cô gắng..cang nặng thêm.. lúc nao cung chi muon tu tư thôi..
