comment_text,label,source,weight
"Truyện hay quá ,cám ơn tác giả và MC",0,weak_high_conf,2
"Tác phẩm tuyệt vời quá, lời thơ hay và phổ nhạc hay quá, phần hình ảnh cũng rất tốt ❤❤",0,weak_high_conf,2
"Nói thật thì tôi cũng trải qua nhiều lần như thế r,bố mẹ cta lúc nào cx gây ra nhiều áp lực và cx sẽ dẫn đến tự tử,trầm cảm,bỏ học,....Nói thật thì nó rất áp lực",1,weak_high_conf,2
Nguyen thi tuyet mai nghe noi tien la suc khoe cua minh la chinh cho ban than dung hang ngay tap the duc ...,0,human_gold,3
Tâm trạng con người lên xuống thất thường. Đều duy trì luôn có động lực khó lắm.,0,human_gold,3
Đã nhận ra bản thân vì nhận ra nên giờ không còn động lực bước tiếp nhìn quanh mình ai cũng tổn thương lao vô nói thì họ tưởng mình bị khùng thành ra giờ ở một mình cô đơn trong khi có rất nhiều thân quanh mình giờ ko biết đi đâu nữa,1,weak_high_conf,2
Rất bổ ích xin cảm ơn chương trình nhiều,0,weak_high_conf,2
"Khi em cảm thấy tuyệt vọng với người thân , thứ em có thể cảm thấy thoải mái là nghe radio và nghe những video như vậy , em chỉ mới 18 tủi , nhưng em đã trải qua nhìu lần tuyệt vọng đến mức em muốn kết thúc cuộc đời , nhìu bạn ở tuổi em sao họ có thể sống thoải mái và vui vẻ đúng với những gì họ muốn , còn em chỉ có thể che giấu mà ao ước cuộc sống của ngkh và mong mình dc vui vẻ như họ , khi em cố gắng cố gắng để thư giãn để cho cảm xúc của em dc thay đổi để tốt qua từng ngày , e muốn mình cởi mở vui vẻ hơn nhưng người thân lại càng làm e áp lực và mệt mỏi hơn … em chỉ mong 1 ngày nào đó em sẽ có một cuộc sống vui vẻ thoải mái hơn hiện tại , e mong mình đủ sức để vượt qa nó",1,weak_high_conf,2
"Hồi nhỏ e cười vui lắm, kể cả trước lời chê bai thậm tệ của người nhà. Cứ mỗi lần bị chê da đen, răng hô, e cười tươi và chỉ nghĩ họ buột miệng nói vậy thôi. E tự tin với ngoại hình của mình dù biết nó có hàng ngàn khuyết điểm, cứ mỗi lần nói về ngoại hình, chỉ biết cười và chẳng bao giờ khóc. Khi lớn lên cấp 2, gặp nhiều người hơn, lời chê bai cũng nhiều hơn, vì vậy mà cũng cười nhiều hơn. Và rồi đến 1 ngày, sự tự ti nó ngập tràn, đi đâu cũng chỉ cúi gầm mặt, không dám bày tỏ ý kiến, chỉ mong mình có thể tàng hình trong cuộc trò chuyện tập thể. Sáng cười , tối khóc như mưa, hầu như tối nào cũng vậy. Thực sự nó mệt mỏi đến tận cùng. Và bây giờ, trầm cảm cười lại đến với em rồi. Nó đến rồi đi, để lại sự nghiệt ngã đến kiệt sức. Không ai cứu em ra khỏi cái cảm xúc trớ trêu này cả",1,human_gold,3
"""Màu xám tro, sự lụi tàn cảm xúc. Màu ánh trăng, suy nghĩ bị vẫn đục bởi xung quanh. Màu đen của sự tuyệt vọng, bế tắc. Nhưng cuối cùng của hơi thở sự tồn tại, những màu sắc ấy hòa quyện nhau, thật đẹp"" - trích nhân cách đã chết. P/s : hồi năm cấp 2 mình từng bị trầm cảm + rối loạn lưỡng cực + áp lực bởi môi trường độc hại từ nhà trường và gia đình nên đã có ý định tự tử. Câu nói trên là sự diễn tả về xung quanh mình lúc đó, và đến cuối năm lớp 7 sau khi đã thuốc quá liều thuốc ngủ để kết thúc thì bằng cách nào đó mình vẫn sống và kí ức bắt đầu ghi lại lúc mình đầu năm lớp 8 đồng nghĩa với 1 nhân cách trong tôi đã chết. Thật xin lỗi nếu như làm các bạn hụt hẫng 😟",1,weak_high_conf,2
Ai thích anh châu khai Phong thì điêm danh cái lào,0,human_gold,3
Phim hay quá ! Cảm ơn kênh nhiêu nha....,0,weak_high_conf,2
"10 năm nay, e ngày nào đến chỗ làm cũng thấy mệt mỏi, áp lực. Đã định bỏ trên dưới 5,7 lần nhưng GĐ k cho bỏ, vì vẫn tư tưởng làm nhà nc là ổn định. Xin đi chỗ khác 2 lần nhưng bên nhận thì đã nhận, mà đvi cũ k cho đi. Ngày nào cũng thế cứ gần 7h chuẩn bị đi làm là lại ngột ngạt, khó thở. Đi làm gần 14 năm lương chưa đc 8tr, nhiều lúc thấy mình hèn nhát vì bỏ k dám bỏ, ngày nào cũng stress vì công việc, đêm ngủ cug k ngon, nghĩ đến công việc lại thấy mệt mỏi. Đến trầm cảm vì công việc. Giờ e chỉ còn chờ đợi xem đợt tới có xin đc chỗ khác k, gần 14 năm từ lúc ra trường đến giờ là vùi dập thanh xuân tại đây. Quá mệt!",1,weak_high_conf,2
Hay quá cảm ơn thầy,0,weak_high_conf,2
ép nhiều nên trẻ con càng lớn càng áp lực xong nhiều khi nhảy lầu tự tử,0,human_gold,3
"Em nhất định phải yêu một người biết trân trọng em, không phải vì đôi ba lần giận hờn rồi bỏ em mà đi. Em nhất định phải yêu một người biết cách yêu em, biết cách giữ em, nên phải là một người thực sự trưởng thành có thể chịu được cái tính khó chịu của em, chứ không phải gặp một người trẻ con lúc nào cũng ghen tuông, giận hờn khiến em phải đau lòng. Rồi em sẽ gặp một người mà khi em buồn, họ nhất định sẽ bỏ hết chỉ để ở bên cạnh em, an ủi em. Khi yêu nhau sẽ không tránh khỏi những lần cãi vã, nhưng em nhất định sẽ phải yêu một người vì em mà chịu chấp nhận họ sai, chịu xin lỗi em trước chỉ để giữ em lại. Nếu một ngày em muốn rời xa vì mệt mỏi, họ sẽ nắm tay giữ em ở lại, chứ không phải là bỏ tay em ra rồi bỏ em ở lại cô đơn, một mình. Rồi em sẽ gặp họ, cái người mà không làm cho em phải buồn, đau lòng vì bất cứ điều gì, hãy an lòng em nhé, em sẽ không phải hối hận khi phải yêu họ đâu. Rồi em sẽ thương đúng người, suốt đời vẫn cứ thương, cùng nhau đi cả đời vẫn không xa lìa... !",1,weak_high_conf,2
rất tuyệt vời và cảm ơn chương trình nhiều nhé,0,weak_high_conf,2
Bố kiểu : mẹ ơi cho bố cái chổi đẻ đập con tao tức và tấm kính fake đáng thương con kiểu : ủa gì dạ hong hiểu biết gì đau kiểu gì con ko biết gì cả huhu,0,human_gold,3
Nghe đến cuối mới nhận ra bao lâu nay mình đang đi sai con đường. Cảm ơn tác giả đã chia sẻ rất hay và sâu sắc ❤❤❤,0,weak_high_conf,2
"Đau nhất là khi nhìn thấy EM khóc, nhìn thấy những gì mà EM phải chịu đựng thật lòng a thấy mắt cay cay, A thương YÊU EM, chỉ mình a biết thôi, EM khóc cũng chỉ mình a biết, hãy để Ạnh thương và lau nước mắt cho em nha NAYT💜💖💖💖💗",0,human_gold,3
Tuyệt vời cảm ơn anh ❤,0,weak_high_conf,2
"Con cố gắng bắt mình đối mặt và vượt qua, cố tỏ ra mạnh mẽ. Nhưng trong vô thức, khi con nằm ngủ, áp lực, lo lắng bủa vây. Và 1 điều là con k dám chia sẻ điều này với ai cả. Người thân thì sợ họ lo lắng, người ngoài thì sợ sẽ thành những chuyện ko hay. Thực sự cô đơn và mệt mỏi,, áp lực vô cùng ạ!",1,weak_high_conf,2
"Con người , họ luôn bận rộn với cuộc sống của bản thân , chẳng ai để ý nhìn người bên cạnh đang vui hay buồn... Xung quanh nhiều người như thế nhưng chẳng ai quan tâm 1 người như tôi...có đơn lạc lõng , chết dần chết mòn theo năm tháng , tàn lụi theo thời gian cũng không một ai biết thế giới này nhìn thấy",1,human_gold,3
Cám ỏn Bác Sĩ đã cho những bài giảng bổ ích.,0,weak_high_conf,2
có lũ bạn thật tận tâm 😇 hát cả bài buồn chúc mừng mình thất tình (Mình buồn mà chúng nó vui quá) 😇😇😇😇,0,weak_high_conf,2
"Hay quá em ơi, anh chờ 2 năm nay mới được nghe bản full của bài này. Cảm ơn em nhiều nhé",0,weak_high_conf,2
Cảm ơn tác giả câu chuyện này rất hay cảm ơn thu huệ đọc truyện rất hay và rõ ràng,0,weak_high_conf,2
Làm sao khỏi được bệnh trầm cảm lo âu mình không ngủ được bị 13 năm rồi mình mệt mỏi quá 😢,1,weak_high_conf,2
Em áp lực tới trầm cảm nặng,1,weak_high_conf,2
Đình đoàn quí mến.nghe video này của đình đoàn có lẽ đây là video hay nhất . đó là triết lý tổng hợp tất cả lời dạy hay của các bác hiện triệt của ngân xưa và rất triết lí với cuộc sống đường đại .đúng hoàn toàn cả ý nghĩa thực tế .cuộc đời bất cứ ai học được làm được như những lời tâm tình của đình đoàn trong video này chắc chắn sẽ có cuộc đời hạnh phúc và thành thân tròn đôi .chúc đình đoàn và đại gia đình hạnh phúc ngập tràn và tiếp tục tâm sự với độc giả nhiều clip hay như thế này .cảm ơn đình đoàn nhiều .,0,weak_high_conf,2
Hai ban hạt hay quá cảm ơn hai ban❤,0,weak_high_conf,2
Anh này có một người mẹ TUYỆT VỜI ko nhờ có mẹ thì có lẽ anh ấy cx không thay đổi được đâu,0,human_gold,3
