review_bucket,comment_text,weak_label,confidence,depression_score,matched_keywords,need_review,suggested_label,final_label,reviewer_note,row_id,text_hash
depression_high,Mỗi lần tui bị áp lực công việc thì tôi hay từ bỏ công việc đó và về nhà nghỉ ngơi thư giãn vài tuần rồi trở lại với công việc mới rồi cũng tiếp tục giống vậy cho tới ngày hôm nay cũng chẳng làm được gì thật chán nản,depression_auto,high,9,áp lực|chán nản|áp lực công việc,False,depression,depression,,s5-0000,c3822caac8
depression_high,"Mình bị mất ngủ do sk tinh thần đúng rối loạn cơ thể hoá, đang dtri 3 tháng nhưng bị tăng 2kg rồi bị rối loạn lo âu trầm cảm",depression_auto,high,11,trầm cảm|mất ngủ|lo âu,False,depression,depression,,s5-0001,c42ba32828
depression_high,"Đọc từng bức thư của các bạn,mình cảm thấy đồng cảm thật nhiều. Năm nay là năm cuối mình học cấp ba,đứng trước một kì thi THPTQG đầy khó khăn với nhiều thay đổi khiến mình cảm thấy áp lực và nghẹt thở.Lịch học luôn dày đặc,đối mặt với những bài kiểm tra,luôn phải cố gắng cân bằng cả ôn thi văn hoá và ôn năng khiếu.Tưởng chừng như với áp lực lớn như vậy thì bản thân sẽ được an ủi hay vỗ về,nhưng những điều nhận lại chỉ là những lời trách mắng về điểm số,so sánh đến từ những người thân yêu nhất.Điều đó khiến mình nhiều lúc muốn buông xuôi tất cả,nhưng rồi nhận ra bản thân còn cả một tương lai phía trước đang chờ.Vậy nên,mình cố gắng vực dậy tinh thần để tiến bước.Mình mong các bạn sẽ được bố mẹ yêu thương,đồng hành trong kì thi này và đạt được nguyện vọng mà mình ao ước.Nếu bạn giống như mình thì ôm bạn một cái,bạn đã chịu nhiều ấm ức rồi.Giờ là lúc chúng ta tiến lên để trở thành phiên bản tốt nhất của chính mình.Cố lên 2k8 <33 Bản thân mình từng bị bodyshaming về ngoại hình nên mình rất thương các bạn.Nếu không ai thương thì mình sẽ thương,dù chúng ta có lẽ chỉ là người lạ,vì các bạn là đều là những người rất đẹp.Mình cũng từng tự ti về ngoại hình của chính mình,đến nỗi ngay cả đứng trước gương cũng không dám,luôn cảm thấy mình thật xấu xí và có lẽ chẳng ai thương mình cả.Ngay cả người thân,họ hàng khi nhìn thấy mình chỉ toàn soi mói,bảo mình ''Béo như lợn'' hay ''giảm cân đi'' khiến mình luôn muốn né tránh.Những lúc ấy,chỉ có thể lén khóc một mình.Mẹ mình thì luôn nghe theo lời nói của người ngoài mà hùa theo chê bai mình.Khiến mình cảm thấy: Có lẽ mình không xứng đáng được yêu thương nhiều đến thế.Nhưng giờ,mình đã dũng cảm makeup,mặc một chiếc váy mình yêu thích mà trước giờ không dám mặc,ai cũng khen mình thật xinh.Tuy đó chỉ là một điều bình thường nhưng đối với mình,đó là một bước tiến rất lớn rồi. Mình hi vọng ai cũng sẽ được yêu thương và trân trọng 😘 Bởi vì các bạn đều xứng đáng được yêu và thấu hiểu <3",depression_auto,high,14,buông xuôi tất cả|áp lực|khóc một mình|tự ti|cố lên,True,depression,depression,,s5-0002,4aa278c37f
depression_high,"Cũng đã từng mắc kẹt trong trạng thái không tên đó, cảm giác mình khi ấy là sự trống rỗng gần như không còn tồn tại bất kỳ cảm xúc nào, cũng không bị ảnh hưởng bởi bất cứ tác động nào từ bên ngoài. Mỗi ngày vẫn sẽ thức dậy vào đúng 5h sáng, rồi lại bắt đầu 1 chuỗi các công việc như được lập trình sẵn, mình cứ sống như vậy suốt 5 năm liền, công việc cũ rích cứ lặp đi lặp lại. Mọi người xung quanh mình khi ấy, có người hỏi mình một câu đến giờ mình vẫn nhớ: ""Em có ổn không?"" Lúc đó mình cũng rơi vào tự hỏi, liệu mình có đang ổn không? Xong rồi lại gạt đi như chẳng có chuyện gì, cũng chẳng để trong lòng. Bạn bè của mình cũng ít dần đi, nhưng mà mình cũng không có ý nghĩ muốn nối lại mối quan hệ, thật sự là không để tâm kiểu có hay không cũng được. Mình như tự vẽ ra 1 ranh giới để tách biệt với mọi người xung quanh, xem nó như ""vùng an toàn"", tới 1 ngày cái vòng tròn đó thu lại ngày càng bé, bao bọc lấy mình không còn kẽ hở nào, người ngoài không thể giúp, cũng chỉ có thể tự thoát ra. Trạng thái này giống như nhộng sâu bướm vậy. Ví mình như con sâu, ăn những cái lá cảm xúc trống rỗng, bất lực, mệt mỏi, tới 1 thời điểm nhất định sẽ kết kén, mà cái kén này chính là tình trạng của mình, mình sẽ lột xác hoá bướm, bay ra khỏi ""vùng an toàn"" mà mình đã chọn, hoặc còn 1 hướng khác nữa, mình không phá kén thành công, chỉ có thể chết dần chết mòn trong cái kén ấy, không có 1 ai nhìn thấy mình nữa. Mình cũng không chắc hiện tại mình đã thật sự ổn chưa, nhưng so với 5 năm trước, có lẽ mình đã tốt hơn nhiều rồi, có thể cảm nhận được thiện chí của mọi người, của thế giới này, không còn bó buột bản thân trong ""vùng an toàn"" chỉ có 1 mình mình nữa.",depression_auto,high,9,mệt mỏi|trống rỗng|bất lực,False,depression,depression,,s5-0003,6692f45e23
depression_high,e k10 hôm nay e tình cờ nghe được list này trong tình trạng rớt hsxs kh đạt hb vì e học trường chuyên nên ai cũng đạt hsg roi em rất chán nản bất lực áp lực đến mức mỗi lần ngồi vào bàn học là bật khóc cúi t5 e có cuộc thi đt mong cho bản thân cũng như tất cả các sĩ tử dù đường đi có chông gai khó khăn thì cuối cùng vẫn đến đích như ý suôn sẻ đánh đổi những thử thách khó khăn để lấy tương lai hằng mong ước,depression_auto,high,9,áp lực|chán nản|bất lực,False,depression,depression,,s5-0004,e770c30da8
depression_high,"hiện mình đang điều trị rối loạn hỗn hợp lo âu, trầm cảm và loạn thần, và nó đã đeo bám mình 4 năm trời dù đã điều trị nhưng vẫn ko có tiến triển :((( mình mong các bạn nào mà có ng thân bạn bè đang bị "" Con chó đen"" đeo bám thì hãy cứu lấy họ nha :((( tui đuối quá rồi",depression_auto,high,8,trầm cảm|lo âu,False,depression,depression,,s5-0005,cff63a9467
depression_high,Mình cũng bị trầm cảm do áp lực tinh cảm GĐ,depression_auto,high,8,trầm cảm|áp lực,False,depression,depression,,s5-0006,889afc071a
depression_high,"từ hồi cấp 1,mình bị bố và cô gvcn ép học.Ở cái thời điểm mà đứa trẻ nào cũng muốn đc tự do vui chơi thì mình lại phải ở nhà cắm cúi vào bàn học để giải các bài tập nâng cao.Lúc đó mình mệt lắm.Hễ cứ làm sai bài tập khó hay dễ thì mình lại bị bố mắng,nói những câu nói như đâm thẳng vào trái tim của một đứa trẻ.Lúc đi thi,mình luôn trong trạng thái lo sợ.Rồi đến một ngày,mình thi trượt trường chuyên và thiếu 0,5 điểm.Nghe tin trượt,mình như chết đi sống lại,k ngờ chuyện đó lại xảy ra.Mình càng dày vò,dằn vặt bản thân hơn.Mọi người xung quanh thì cứ nhắc đi nhắc lại chuyện đó.Mình có thi cùng 1 bạn và bạn ý đỗ.Trong khoảng thời gian đó,bố mình luôn nhắc về chuyện mình trượt và bạn ấy đỗ để đem ra so sánh.Bố mình là hiệu trưởng,mẹ mình là gv.Nhưng bố luôn là ng nghiêm khắc nhất nhà,tuổi thơ của mình là như vậy.Là áp lực học tập như muốn chết đi.Thật sự,bố chưa bao giờ từng hỏi ""con có mệt k?"".Dù giờ mình đang học trường thường nhưng vẫn sống rất tốt mong rằng bản thân sẽ cố gắng hơn cho mục tiêu đỗ nv1 trường chuyên",depression_auto,high,9,muốn chết|áp lực|áp lực học tập|ủng hộ,True,depression,depression,,s5-0007,e47ca98a40
depression_high,"Hôm nọ đi chơi cùng đám bạn, có một cô bạn cảm thán rằng tại sao có nhiều người trông vẫn bình thường và chẳng có áp lực gì mà bỗng một ngày vẫn mắc trầm cảm rồi tự tử. Mình thì chưa đến mức mắc trầm cảm, chỉ là nhiều lúc hay chìm vào buồn bã và cô đơn, nhưng mình rất hiểu cho những con người trông có vẻ ""bình thường"" mà cô bạn nhắc tới. Nhiều khi người ta tỏ ra bình thường nhưng thế giới bên trong người ta đang xao động như thế nào thì mình chẳng thể biết được. Có những khoảnh khắc lo âu, buồn bã mà chẳng thể giãi bày với bất kỳ ai. Cái nỗi buồn cùng cực kèm theo sự không tìm thấy hi vọng sống một ngày nào đó có thể lôi người ta đi bất cứ lúc nào. Không phải cứ trải qua những biến động khủng khiếp mới có nguy cơ bị trầm cảm, đôi khi thiếu đi sự đồng hành và sẻ chia đúng cách của những người xung quanh cũng có thể là một nguồn cơn tinh vi đưa người ta đến gần hơn với cái chết",depression_auto,high,19,tự tử|trầm cảm|cô đơn|áp lực|lo âu,False,depression,depression,,s5-0008,0ec0cd2302
depression_high,"Tui bị rối loạn lo âu mà nhập viện gia định bác sĩ chả có điều trị gì còn nc kiểu nạt nộ, may mà tui qua bệnh viện tâm anh được bác sĩ giải thích cho căn bệnh này thì lúc đó mới hiểu cái bệnh này, đỡ được phần nào. Chỉ có cách chấp nhận và điều trị từ từ sẽ hết, bác sĩ khuyên nên tập thiền và bớt suy nghĩ lại, tập nghe hoặc làm những việc vui tươi hơn. Bây giờ ra ngoài tui hay bị hồi hộp run tay nhưng tui ráng đi ra ngoài chút chút để mình quen dần với cuộc sống hàng ngày. Mọi người cố lên nhé",depression_auto,high,8,tự tử|lo âu|cố lên,True,depression,depression,,s5-0009,68a010bd24
