comment_text,label,source,weight,annotation_round,final_label
Mink thấy stress nhẹ ❤,0,human_gold_round5,3,round5,normal
"Ngày mình yêu nhậu đậm sâu và em nói yêu anh mãi k rời xa Đành lòng sao em người ơi mà em bỏ anh đi chẳng câu giả từ Lòng anh đau lắm người ơi có bao h người nhớ những lúc bên nhau Em bỏ anh thật sao khi anh đây vẫn còn yêu Thà người đừng hứa đợi anh để anh ngóng anh trông mỗi khi đc thăm Để giờ đến móc gặp gỡ ngta đã cho hay em theo người mới Tr ơi sao nỡ bỏ anh chốn này,thà người đừng hứa đợi anh trở về Để anh khóc hết nước mắt em ơi Khổ đau mình anh Ngày mà đưa anh lên xe em đã,chạy lại đến bên ôm anh thật lâu Và anh cũng biết cái ôm lúc đó sẽ chẳng đến bên anh thêm lần nào Còn đâu nữa tháng năm hạnh phúc Còn ai nữa để chia từng cơn vui buồn Và cũng mong em được hạnh phúc êm đềm",0,human_gold_round5,3,round5,normal
Con đang giống như cô gái ấy Thầy ạ con luôn muốn chết vì với con chết còn dể hơn sống 😞,1,human_gold_round5,3,round5,depression
"Tôi lênh đênh ở tuổi 20 đến tuổi 25 hiện tại vẫn còn mong lung. 5 năm trôi qua vẫn mãi 1 suy nghĩ, ngọn núi cao nhất vẫn là chính bản thân mình",0,human_gold_round5,3,round5,normal
"Lúc nào em nt em luôn gửi icon mặt cười, em buồn lm chứ nhưng em sợ anh lo cho em nên em luôn giấu anh😞",1,human_gold_round5,3,round5,depression
Tớ đang ngồi trên chuyến tàu thất bại đến ga trung chuyển,0,human_gold_round5,3,round5,normal
"Tips để trị bệnh trì hoãn, lười biếng: 1. Động lực từ việc làm còn dang dở, chưa hoàn thành. —> Cứ làm thôi đừng suy nghĩ nhiều đến áp lực phải hoàn thành! 2. Tránh tình trạng Cạn năng lượng —>lên ds những việc ko nên làm trong thời gian làm việc.",0,human_gold_round5,3,round5,normal
"E cũng đag bị như vậy, thề khó chịu thật sự 😢",0,human_gold_round5,3,round5,normal
"nói ổn là nói dối, ko buồn là nói điêu nhưng biết phải làm sao đây khi có lẽ tôi đã lỡ mất em rồi, cũng chẳng biết em có nhận ra tình cảm này của tôi hay không vì tôi đã chằng đủ dũng cảm để nói ra nhưng khoảng thời gian cùng nhau trò chuyện, cùng nhau vui đùa, cùng nhau chia sẻ mỗi khoảnh khắc trong cuộc sống đã khiến tôi rất vui, dù cho người bên cạnh em là ai tôi cũng cầu mong em sẽ luôn mĩm cười trong hạnh phúc, có lẽ vì tôi thiếu dũng khí khiến em không thể yên tâm cũng có thể ta chỉ có duyên gặp nhau chứ ko có cơ hội để bên nhau, dù sao cảm ơn em đã để lại trong tôi phần ký ức đẹp nhất của hai ta ^^",0,human_gold_round5,3,round5,normal
"Dường như tôi cô đơn trong chính ngôi nhà mình, ai đã từng có cảm giác này??",1,human_gold_round5,3,round5,depression
"Mình đã như vậy, hôm nay mình đã khóc rất nhiều khi xem clip.mình biết cảm xúc của con mỗi lần bị ba mẹ la không cho làm điều con muốn mình luôn nhìn biểu cảm con nhưng mình đã lờ đi cảm xúc đó bởi mình không biết phải đối diện và giải quyết với nó như thế nào, mình luôn bắt con phải làm theo ý mình với đứa con đầu của mình",0,human_gold_round5,3,round5,normal
Buồn thì buồn nhưng mình là con trai phải chịu và vượt qua những nổi buồn đó thôi 😔,0,human_gold_round5,3,round5,normal
K có j buồn og oi đc ngủ với 3e xjk như thế là hp roi,0,human_gold_round5,3,round5,normal
"Mình vừa nhạy cảm vừa tự ti và rụt rè, nhưng luôn cố gắng tỏ ra minh la ng k rụt rè, bạn hỏi, s bữa c bt, giờ lại khác qa z, đó la câu hỏi minh hk thể tl, hk phai minh dả tạo, mà minh đang cố gắng nhung nhiều lúc lại hk cố đc, nên mình như là ng 2 tính cách",0,human_gold_round5,3,round5,normal
"Con cũng là người hướng nội Cô ạ. Rất e ngại giao tiếp xã hội và khó mở lòng với người khác, qua video của Cô con biết rằng trong quá khứ con là người đã gây ra cho người khác cảm giác tương tự và giờ đây con phải chịu quả báo. Con xin sám hối lỗi này, sửa đổi tính cách nâng đỡ cho người khác để người khác không bị cảm giác này ạ",0,human_gold_round5,3,round5,normal
