comment_text,weak_label,confidence,depression_score,matched_keywords,need_review
Cám ơn Better Version vì những nội dung bổ ích mỗi tuần này!,normal_auto,high,-4,cảm ơn|bổ ích,False
Câu chuyện ban kể hay quá kết thúc thật co hâu thật tuyệt vời,normal_auto,high,-4,hay quá|tuyệt vời,False
Tao quá mệt mỏi t cầm dao vô cổ nhưng lúc đó có người vô.Lúc ngày ông t mắt t định tự tử để theo ông 😢😢,depression_auto,high,8,tự tử|mệt mỏi,False
QT hát quá tuyệt vời. Nhạc sĩ sáng tác rất hay,normal_auto,high,-4,tuyệt vời|rất hay,False
"Những lời chia sẻ, và chỉ dẫn rất tuyệt vời, cảm ơn chương trình rất nhiều!!👍",normal_auto,high,-4,cảm ơn|tuyệt vời,False
"Tuyệt vời. Cam on trường Dai Hoc Khoa Hoc Xa Hoi va Nhan Van, cam on cô Phượng cô Sen đã trao một chương trình rất hữu ích cho cộng đồng xã hội.",normal_auto,high,-4,cảm ơn|tuyệt vời,False
Hay quá thầy à . Cám ơn thầy .,normal_auto,high,-4,hay quá|cảm ơn,False
Mệt mỏi muốn trầm cảm .vì con khong nghe loi..nản,depression_auto,high,8,trầm cảm|mệt mỏi,False
Quá đỉnh m ơi hay quá,normal_auto,high,-4,hay quá|quá đỉnh,False
Cảm ơn tác giả câu chuyện này rất hay cảm ơn thu huệ đọc truyện rất hay và rõ ràng,normal_auto,high,-4,cảm ơn|rất hay,False
"Tuyệt vời lắm Đoàn ơi, cô chúc mừng con mọi công việc tốt đẹp hạnh phúc tràn đầy nhé ❤❤❤❤❤❤",normal_auto,high,-4,tuyệt vời|chúc mừng,False
"Cám ơn Thầy và Équip. Nội dụng bài hay quá ạ,,,,",normal_auto,high,-4,hay quá|cảm ơn,False
Nêu câu chuyện này đc viết từ một sự thất thì quá là tuyệt vời ... tác giả ơi hay quá sâu sắc quá tôi nghe đi nghe lại mà vẫn tưởng như được lần đầu,normal_auto,high,-4,hay quá|tuyệt vời,False
Hay quá bác sam ơi cảm ơn bác nhiều nhiều ❤❤❤❤❤❤🎉🎉🎉,normal_auto,high,-4,hay quá|cảm ơn,False
"Xem video của c xong nhẹ hết cả tâm hồn , học đc nhiều điều mới . Cám ơn c , chúc c luôn vui vẻ, mạnh khoẻ và thành công 🥰🥰 sẽ tiếp tục theo dõi và ủng hộ c",normal_auto,high,-4,cảm ơn|ủng hộ,False
Hay quá Hoài Lâm ơi. Tuyệt vời từng nhịp nhạc lời ca tiếng hát của bạn ❤❤❤,normal_auto,high,-4,hay quá|tuyệt vời,False
Em bé đáng yêu quá,normal_auto,high,-4,đáng yêu|yêu quá,False
Cảm ơn bạn! Xin chúc mừng Đan Nguyên 😅anh xuất sắc quá 😊 500.000 lượt xem rồi 😊 rất tuyệt vời 😊,normal_auto,high,-6,cảm ơn|tuyệt vời|chúc mừng,False
"❤cảm ơn bạn đã giải thích rất rõ ràng và bổ ích,giúp mọi người",normal_auto,high,-4,cảm ơn|bổ ích,False
Hay quá cô ơi hát bài 3 tháng tạ từ nha cô con đợi cô hát bài đó lâu lắm rồi á mong cô chấp nhận yêu cầu của con ạ con sẽ ủng hộ mạnh cô ạ ai thấy đúng like nha 😍😍😍,normal_auto,high,-4,hay quá|ủng hộ,False
Cám ơn chị vì một video bổ ích ❤❤❤,normal_auto,high,-4,cảm ơn|bổ ích,False
"Ca khúc hay quá,nó là câu chuyện của nhiều người, quá cảm xúc,hay quá ạ,cảm ơn anh vì ca khúc rất hay",normal_auto,high,-6,hay quá|cảm ơn|rất hay,False
"Ép con học đến kiệt sức, tuyệt vọng thì cha mẹ đó mới cần phải học thêm",depression_auto,high,8,tuyệt vọng|kiệt sức,False
Thầy ơi con bệnh trầm cảm cũng lâu rồi chán nản buồn bực chán đời thầy giúp con với,depression_auto,high,11,trầm cảm|chán đời|chán nản,False
"Trở lại tuyệt vời, em rất xinh đẹp chị ơi, anh rất thích lời bài hát và giai điệu ❤‍🔥🥰🤩. Video clip thật tuyệt vời! Tất cả các bài hát của em đều rất hay chị ơi, anh rất mong chờ những bài hát tiếp theo 💖❤‍🔥💞!!",normal_auto,high,-4,tuyệt vời|rất hay,False
Cảm ơn và luôn ủng hộ thầy ạ 💗,normal_auto,high,-4,cảm ơn|ủng hộ,False
Tôi thật. Sự chán sống .Hầu Tất cả j về bệnh tình thần tôi đều bị cả ko một ai trong nhà biết bệnh của tôi . Những bệnh của tôi Trầm cảm Rối loạn cảm xúc Rối loạn đa nhân cách Rối loạn lo âu Tôi còn làm nhiều bài test khác và các thứ đó khoảng 80 - 90% 😊❤,depression_auto,high,8,trầm cảm|lo âu,False
"clip quá tuyệt vời, cảm ơn chị Tâm rất nhiều, thật sự rất khái quát và dễ hiẻu. Cảm ơn team Vietsuccess đã làm series này thật đúng lúc và nhiều tình yêu thương",normal_auto,high,-6,cảm ơn|hài quá|tuyệt vời,False
Em cảm ơn kênh vì kiến thức rất hay và thực tế ạ 💕🌱🌳,normal_auto,high,-4,cảm ơn|rất hay,False
Trong lòng con rất buồn chán .đau khổ . nhưng khi nghe thầy giảng con cũng đã bớt được rất nhiều. cảm ơn thầy . chúc thầy sức khỏe thật nhiều để giảng cho chúng con những bài pháp thật ý nghĩa ak,normal_auto,high,-4,cảm ơn|thật ý nghĩa,False
em chào bác sỹ năm nay 43t cho em hỏi bác sỹ gần đây em hay bị đau đầu tự dưng ngồi khóc một mình nhiều lúc em không mua sống nữa vậy có phải em bị trầm cảm không ạ,depression_auto,high,8,trầm cảm|khóc một mình,False
"Mình trân trọng và lắng nghe từng lời nói, từng âm thanh, từng chữ trong những video của bạn...mình thầm cảm ơn, thầm ngưỡng mộ và thật sự yêu mến bạn, bạn đã sống thật ý nghĩa, cho đi quá nhiều giá trị tuyệt vời, một cuộc đời đáng sống! Mình đã học được rất nhiều từ những chia sẽ của bạn. Yêu bạn thật nhiều, cảm ơn thật nhiều.❤",normal_auto,high,-6,cảm ơn|tuyệt vời|thật ý nghĩa,False
"Em hát rất hay, từng lời hát , lời ca quá xuất sắc...Chúc mừng em .",normal_auto,high,-4,rất hay|chúc mừng,False
Mot tieng hat rat de thuong da loi cuon toi vao Dòng nhac cam on y Phuong 👍❤️,normal_auto,high,-4,cảm ơn|dễ thương,False
"Hai đứa này dễ thương quá. Đóng cặp với nhau quá ôk , cô rất thích xem. Chúc mừng hai con nhé",normal_auto,high,-4,dễ thương|chúc mừng,False
"cái mặt tốt duy nhất của trầm cảm, là khi thấy 1 người như mình, họ ko bỏ wa, samurai hay bất cứ tên gì bạn gọi bản thân, mình chỉ muốn ở bên bạn lúc bạn thấy cô đơn, như bản thân mình cần 1 ng vậy thôi. ^^",depression_auto,high,8,trầm cảm|cô đơn,False
"Cám ơn VSTN, hiện tại mình là một hs lớp 12, từng là thủ khoa đầu vào của trường trung học. Vậy nên với tư duy của một đứa trể, mình nghĩ rằng mình giỏi, mình hơn người và mình ... chủ quan, mình để người khác vượt mặt, mình thất bại. Nhưng, năm nay là năm cuối, mình hoàn toàn có thể đứng lên và trở thành một con người như khi xưa đã từng, một thủ khoa hay một người tài, mình biết rằng mình làm được!!",normal_auto,high,-4,cảm ơn|ủng hộ,False
Hay quá.Cảm ơn hai bạn ❤❤❤❤❤❤,normal_auto,high,-4,hay quá|cảm ơn,False
"Từ khi em tôi sinh ra, và từ đó tôi cảm thấy sự cô đơn quanh mình :(( từ đó tôi thật sự muốn làm người tâm thần vì như vậy ko phải lo nhiều việc, nào là áp lực việc Học, áp lực gia đình, xã hội... Tôi muốn như mấy người tâm thần vì họ ko bao giờ phải lo về chuyện đó :((",depression_auto,high,9,cô đơn|áp lực|áp lực gia đình,False
Quá tuyệt vời cảm ơn chị rất nhiều,normal_auto,high,-4,cảm ơn|tuyệt vời,False
"Em luyến chữ ""loài"" lên 1/4 tông trong phần ending hay quá Minh Tâm ơi! Một giọng hát quá ngọt ngào mà Thiên Chúa đã ban cho em.. Thật tuyệt vời! Cảm ơn em!",normal_auto,high,-6,hay quá|cảm ơn|tuyệt vời,False
Yêu quá Trang ơi... Cảm ơn Trang nhé <3,normal_auto,high,-4,cảm ơn|yêu quá,False
Hay qua cam ơn bác si,normal_auto,high,-4,hay quá|cảm ơn,False
Tôi bị trầm cảm 64 % còn con bạn thân của tôi nó bị stress 100% 😮😮😮😮,depression_auto,high,8,trầm cảm|stress,False
Rất hay ❤ cảm ơn TG đã chia sẻ 🎉.,normal_auto,high,-4,cảm ơn|rất hay,False
"Con cố gắng bắt mình đối mặt và vượt qua, cố tỏ ra mạnh mẽ. Nhưng trong vô thức, khi con nằm ngủ, áp lực, lo lắng bủa vây. Và 1 điều là con k dám chia sẻ điều này với ai cả. Người thân thì sợ họ lo lắng, người ngoài thì sợ sẽ thành những chuyện ko hay. Thực sự cô đơn và mệt mỏi,, áp lực vô cùng ạ!",depression_auto,high,9,cô đơn|mệt mỏi|áp lực,False
"mình 40 tuổi, cô đơn dù có vợ 2 con sống chung nhà nhưng chỉ vì con, có lúc mình như trầm cảm, khi nghe kênh này mình vẫn cô đơn nhưng ổn hơn trước",depression_auto,high,8,trầm cảm|cô đơn,False
cảm ơn better version rất nhiều vì đã chia sẻ những cuộc trò chuyện và những bài học thật ý nghĩa,normal_auto,high,-4,cảm ơn|thật ý nghĩa,False
Hay quá thiên ơi ! Nuốt từng lời hát vào tim..! Thật đã diết và cảm xúc từ bài hát qua tiếng hát QT. Cảm ơn em nhé !!!❤❤❤,normal_auto,high,-4,hay quá|cảm ơn,False
Hôm nay Cuối Tuần 40 Chủ Nhật Ngày 8 Tháng 10 Năm 2023 Tuần 40 ở Đồng Tháp Huyện Tháp Mười Xã Mỹ Quý Huyện Cao Lãnh Xã Ba Sao em sẽ ủng hộ tiếp tục hết mình và tất cả mọi người ở đây cũng vậy sẽ ủng hộ hết mình cho chị hay quá đi thôi chị ơi 👍👍👍👍👍👍👌👌👌👌👌👌😍😍😍😍😍😍😘😘😘😘😘😘💞💞💞💞💞💞💙💙💙💙💙💙💕💕💕💕💕💕,normal_auto,high,-4,hay quá|ủng hộ,False
Chăm chỉ đâu không thấy chỉ Toàn thấy áp lực học tập có giật chẳng có thời gian nghỉ ngơi học sáng tới tối và đêm mới được ngủ còn có bị gù lưng tóc bạc và đeo kính cận từ tiểu học không nên chăm chỉ quá nhiều thì sẽ ảnh hưởng đến sức khỏe của bản thân hãy nên có cân bằng giữa học tập và nghỉ ngơi ❤,depression_auto,high,9,áp lực|áp lực học tập|tự ti,False
Hay và bổ ích lắm ạ cảm ơn anh rất nhiều 😄😄,normal_auto,high,-4,cảm ơn|bổ ích,False
"Từ lâu đã ước có 1 album Đạt G hát những hết sáng tác do mình viết ra cho các ca sĩ khác. Cuối cùng thì cũng có, quá cảm xúc, quá tuyệt vời. Cảm ơn DearOcean, cảm ơn Đạt G.",normal_auto,high,-4,cảm ơn|tuyệt vời,False
Tập này thật sự rất hay. Cám ơn chương trình !,normal_auto,high,-4,cảm ơn|rất hay,False
Cảm ơn con rất nhiều cô đã 57 tuổi rồi mà cô thấy cần học hỏi ở con rất nhiều video của con rất hay,normal_auto,high,-4,cảm ơn|rất hay,False
"Lần đầu tiên biết về Em cùng dòng nhạc vui nhộn,yêu đời. Cám ơn Em có đêm diễn ở Sydney 24/1/26 tuyệt vời,hẹn ngày hữu duyên ở VN❤. Many thanks Vicky",normal_auto,high,-4,cảm ơn|tuyệt vời,False
Phim hay quá và ý nghĩa quá ❤❤❤❤,normal_auto,high,-4,hay quá|ý nghĩa quá,False
"Có lúc im lặng, người khác có quan điểm trái chiều thì cũng tôn trọng. Tôn trọng là mở ra đôi tai, họa từ miệng mà ra. Phản hồi đúng lúc: nói 1 lần nghe 2 lần phản hồi 3 lần, luyện tập có chủ đích. Ngắn gọn, đi vào trọng tâm. ( Đừng nói dài hay quá ngắn): phát biểu theo từ khóa, hoặc có 3 ý... thứ nhất, hai, ba... Cảm ơn, nhìn lại, viễn cảnh. Đọc sách nhiều ( cùng nội dung nhưng diễn đạt khác thì vấn đề mới khác) Đừng để bản thân rơi vào định kiến, vội vàng đánh giá người khác🤗",normal_auto,high,-4,hay quá|cảm ơn,False
"Video này của chị hay quá, truyền động lực cho em rất nhiều. Cảm ơn chị vì những điều bổ ích chị đã truyền tải.",normal_auto,high,-6,hay quá|cảm ơn|bổ ích,False
Bài rất hay nghe rất chill mv rất tuyệt vời nghe xoảng khoái vô cùng . Đỉnhhhhh!!!,normal_auto,high,-4,tuyệt vời|rất hay,False
Rat hay boi cay vang vong cô rat ngot ngao mui man rat đi vao long khan gia moi miên my Trinh ca cung hay lam chuc mung 2 ban nhiu ❤❤❤❤❤🎉🎉🎉🎉🎉❤❤❤❤❤,normal_auto,high,-4,rất hay|chúc mừng,False
"Em hát hay có nhiều bài hát đúng ý nghĩa trên đời này hay quá tuyệt vời nhất, kết nghĩa anh em mãi mãi anh nói thật lòng, em giữ gìn sức khỏe nha em xinh đẹp tuyệt vời nhất",normal_auto,high,-4,hay quá|tuyệt vời,False
Lâu rồi mới nghe nhạc onlyc kỉ niệm lại ùa về cảm ơn onlyc đã ra bài hát rất hay tôi là người rất thích âm nhạc và rất thích nhạc của onlyc ❤,normal_auto,high,-4,cảm ơn|rất hay,False
"ở đâu có yêu thương ở đó có chuyển hoá ,câu nói này quá ý nghĩa . e cảm ơn chị đã làm nội dung ý nghĩa này ,quá hay và bổ ích đối với những lớp người trẻ 20t như chúng e",normal_auto,high,-4,cảm ơn|bổ ích,False
"Nhạc trịnh đình quang vs phan mạnh Quỳnh nghe thật ý nghĩa và logic,nghe mãi k chán",normal_auto,high,-4,đỉnh quá|thật ý nghĩa,False
"Cái số 2 khá chuẩn ấy chứ, mình chỉ có 3-4 người bạn thui, ko nhìu nhưng họ đều là những con người tuyệt vời. Ở bên cạnh họ, mình thoải mái là chính mình ^^",normal_auto,high,-4,ủng hộ|tuyệt vời,False
Truyện quá hay cảm ơn tác giả cảm ơn Chương trình cảm ơn giọng đọc tuyệt vời nhất của MC 🎉🎉🎉🎉🎉❤❤❤❤❤,normal_auto,high,-4,cảm ơn|tuyệt vời,False
"Video rất bổ ích cảm ơn anh, chúc anh năm mới phước lành, mọi điều tốt đẹp nhất sẽ đến với anh <3",normal_auto,high,-4,cảm ơn|bổ ích,False
"Bệnh Trầm cảm có thể chữa được tại nhà, và nhiều loại bệnh khác. Mình bị bệnh hơn 10 năm rồi mình bị mất ngủ, từng có ý định tự tử nhiều lần nhưng không giám, cũng mai. Mình cơ mai nghe kinh Phật, thấy giảm bệnh sau đó mình ăn chay và tập thiền chỉ khoảng 4, 5 tháng gì đó mình đã hết bênh rồi. Xin chân thành chia sẽ đến các bạn. A Di Đà Phật 🙏🙏🙏 🌸🌸🌸🌷🌷🌷🌹🌹🌹🌺🌺🌺",depression_auto,high,13,tự tử|trầm cảm|mất ngủ,False
Chị ơi nghe chị tư vấn rất bổ ích muốn gặp chị để chữa trực tiếp hoăc gián tiếp xin chị cho lời khuyên ạ cảm ơn B S,normal_auto,high,-4,cảm ơn|bổ ích,False
Cám ơn bạn đã cho thông tin rất bổ ích về các loại thuốc ngủ .,normal_auto,high,-4,cảm ơn|bổ ích,False
Kh bt có ai cùng tư tưởng hay kh chứ t nghe bài này để có động lực học để vào Harvard University-),depression_auto,high,8,tự tử|cô đơn,False
Nghe Thầy Năm nói hơn 20 phút mà cứ như vài phút vậy trời... quá hay quá phê Thầy ơi ! Cảm ơn Thầy ...mãi yêu ❤❤❤,normal_auto,high,-4,hay quá|cảm ơn,False
