comment_text,label,weak_label,confidence,depression_score,matched_keywords,source,weight,annotation_round
"Con mình 15 tuổi,,nhưng may mắn con mình luôn coi mình như 1 người bạn,, các bạn không may mắn hãy cố lên vì bố mẹ có chửi bới hay đánh đập các con,, cũng chỉ mong các con có tương lai tốt đẹp,, chỉ là bậc làm cha làm mẹ không biết cách thể hiện hoặc thể hiện tình thương yêu với các con sai cách,, không biết thể hiện kiểu tình cảm đối với lứa tuổi dậy thì,,, các con hãy lạc quan lên,, đừng nghĩ dại nhé,, không người thiệt nhất chính là bản thân các con và cuối cùng là nỗi đau xé lòng của cha mẹ,, các con cố lên sẽ qua được cảm xúc của tuổi dậy thì mau thôi",0,,,0,,human_gold_pre_round5,3,round4_or_earlier
Chi phí nhiều tiền quá bị trầm cảm.Nên hạn chế chỉ tiêu mà đi thiền hành chính trong hơi thở chánh niệm tránh trầm cảm.,1,,,0,,human_gold_pre_round5,3,round4_or_earlier
"Còn 40 ngày cuối cứ cảm thấy chênh vênh,lo sợ nhưng mà không cố gắng cứ lười nhát nếu có lỡ có không như mong đợi chéc t hối hận chết mất 😭",0,,,,,human_gold_round6,3,round6
"Rất nhiều khi con muốn đc ng thân, a ch em ngồi im lắng nghe mình, nhưng con biết rõ khi con nói ra bất kỳ điều gì, mọi người đều chỉ ý kiến, đánh giá mà không thật sự im lặng để nghe con nói, để hiểu cho con, nên từ đó con k muốn nói gì với nữa cả, chỉ im lặng thôi😔",1,,,0,,human_gold_round5,3,round5
Cảm ơn bác sĩ đã chia sẻ những kiến thức bổ ích giúp mọi người có thêm kinh nghiệm cho việc nay,0,normal_auto,high,-4,cảm ơn|bổ ích,human_gold_pre_round5,3,round4_or_earlier
Cj thuy huyen dung la vien ngoc quy cua dong nhac bolero tuyet voi lam❤chuc cj luon tre dep va nhiu suc khoe niem vui cj nhe🤗,0,,,0,,human_gold_pre_round5,3,round4_or_earlier
"Mình cảm thấy bản thân thật thất bại, mình chỉ muốn được làm người bình thường. Mọi thứ xung quanh như bóp nghẹt mình. Mình vùng vẫy, cuối cùng chẳng có gì đúng ý mình. Mình mệt mỏi, thật sự, k ai hiểu mình. Mọi ng chỉ lánh xa mình khi họ biết con ng thật của mình. Mình mệt",1,,,,,human_gold_round6,3,round6
E mới sanh hay quên và nhức đâu và suy nghĩ tâm bây có phải trầm cảm không,1,,,,,human_gold_round6,3,round6
Đôi lúc muốn tự giải thoát chứ mệt mỏi quá,1,,,,,human_gold_round6,3,round6
"32 ngày nữa thôi, cố lên . Em sợ lắm, nhiều lúc nhìn thấy bố mẹ làm lụng mà lại rớm nước mắt, suy nghĩ rất nhiều nhưng mà bất lực thì chả giải quyết được j cả, bây h phải cố gắng hết sức, qua nhưng ngày tháng này thôi rồi đạt được kết quả như mong muốn thì sẽ cảm thấy thật hạnh phúc và tự hào với bản thân mình,bố mẹ cũng thật sự vui mừng khi thấy bản thân làm được điều đó,dù bản thân chưa thật sự giỏi giang đi chăng nữa. Con Yêu Bố Mẹ, luôn biết ơn và hãy cố gắng Đỗ NV1 nhé em 🎉 Cố lên nào,mình làm được mà ✊🏻",0,,,0,,human_gold_pre_round5,3,round4_or_earlier
