comment_text,label,weak_label,confidence,depression_score,matched_keywords
"Cảm ơn PGS.TS Dương Trọng Hiếu đã chia sẻ kiến thức bổ ích ah, bác truyền tải rất cuốn hút và dễ nhớ",0,normal_auto,high,-4,cảm ơn|bổ ích
Thật sự nội dung chị làm nó tạo cho em rất nhiều điều tích cực trong cuộc sống. Chúc chị có nhiều sức khỏe và làm thêm nhiều nội dung hay như vậy cho mọi người. Cảm ơn sự đóng góp tuyệt vời của chị.,0,normal_auto,high,-4,cảm ơn|tuyệt vời
Ck hay rất hay tryêt với quá em trai chị cảm ơn em nhiều lắm,0,normal_auto,high,-4,cảm ơn|rất hay
"Cảm ơn ad đã tạo nên list nhạc ôn thi tuyệt vời như này, max volume mà giải đề tiếng anh thì quá hợp. Ad note keyword, dịch tiếng việt, mọi thứ thật tâm huyết. Chúc tất cả mọi người nghe list nhạc này đều thành công.",0,normal_auto,high,-4,cảm ơn|tuyệt vời
"Ước gì thầy về VN để con có thể trực tiếp được gặp thầy,con rất cảm ơn những bài giảng của thầy,nghe thật ý nghĩa và sâu sắc, Nam mô a Di Đà Phật",0,normal_auto,high,-4,cảm ơn|thật ý nghĩa
"học bài, làm việc mà nghe say sưa. Cảm ơn Blog Radio đã mang đến cho e những buổi tối tuyệt với ạ ❣",0,normal_auto,high,-4,cảm ơn|tuyệt vời
"Hay quá, nghe suy luôn. Live quá đỉnh!",0,normal_auto,high,-4,hay quá|quá đỉnh
Kênh đầu tiên mình bấm mở chuông thông báo. Cám ơn a đã chia sẻ những kiến thức cực kỳ bổ ích.,0,normal_auto,high,-4,cảm ơn|bổ ích
"Cam on Bs da cho những lời khuyên nhiều hữu ích, rất hay và cam động, xin Chua chúc lành cho Bs nhiều sức khỏe ❤",0,normal_auto,high,-4,cảm ơn|rất hay
Cảm ơn lưu ánh loan ck tâm sự đời tôi rất hay,0,normal_auto,high,-4,cảm ơn|rất hay
"Góc nhìn rất hay, Cám ơn bạn đã chia sẻ",0,normal_auto,high,-4,cảm ơn|rất hay
Hay quá nâu lắm rồi mới thấy em Dương Hồng Loan hát hay quá thật tình cảm quá em à Thay mặt khán giả anh cảm ơn em chúc em và gd HP và thành đạt thành công trong cuộc sống của mình nha em,0,normal_auto,high,-4,hay quá|cảm ơn
"Hay quá ,cảm ơn tác giả🎉🎉🎉🎉🎉",0,normal_auto,high,-4,hay quá|cảm ơn
"Tiếng hát Đan Nguyên đầy cảm xúc, thấu vào tim, nhức nhối cảm động quá. Bài này không nghe sẽ uổng cả đời. Cảm ơn Đan Nguyên và toàn thể những ai tạo nên ca khúc, video xuất sắc tuyệt vời này ! ❤❤❤",0,normal_auto,high,-6,cảm ơn|tuyệt vời|cảm động quá
"Rất hữu ích, quá tuyệt vời Cảm ơn thầy nhé.",0,normal_auto,high,-4,cảm ơn|tuyệt vời
"♥️♥️20h41(30/8/24)CAM ON NSST ANH BANG CK MOI RAT TUYET VOI , BEAT PHOI HAY DANG CAP , CANH DEP ....👍LONG VAN NHO .... GOI THAM ... TEN ANH , THAT NHIEU CAM XUC ♥️CAM ON NS DA CHIA SE , VUI KH , TC NHA 👍💯",0,normal_auto,high,-4,cảm ơn|tuyệt vời
"Video hay quá ạ, em cảm ơn thầy nhiều 😀😀😀",0,normal_auto,high,-6,video hay|hay quá|cảm ơn
Chuyện rất hay cảm ơn giọng đọc của bạn mình sẽ luôn theo dõi và ủng hộ kênh của bạn ❤,0,normal_auto,high,-6,cảm ơn|ủng hộ|rất hay
"Cảm ơn Quách Beem đã có những bài hát tuyệt vời, đi vào lòng người , hơn hết là rất ý nghĩa! Dù ở hoàn cảnh nào cũng không bị lỗi, ngoài ra Quách Beem còn phát tâm đi hát ở các chùa nhân dịp vu lan vừa qua. Thật quý QB! Chúc QB luôn được an lạc và gặp nhiều thuận duyên trong cuộc sống.",0,normal_auto,high,-4,cảm ơn|tuyệt vời
"dạ hay quá ạ,con cảm ơn BS và cô MC ạ,,Con cũng đi khám bs cho con uống thuốc thần kinh,nói con bị nặng nhưng từ ngày uống thuốc con trở nên đờ đẩn,bs cho con 20 ngày và bảo uống nhất là 3 đến 6 tháng có thể cả 12 tháng mới đở,nhưng con uống đến ngày thứ 7 con cứ ngủ li bì không làm chủ được cảm xúc,thế là con quyết định bỏ thuốc từ hôm bỏ thuốc đến giờ con đã ổn định nhờ vào thiền chánh niệm ạ..con cảm ơn ạ.❤❤❤❤❤❤❤❤.",0,normal_auto,high,-4,hay quá|cảm ơn
"Câu truyện rất hay ,kết thúc cò hậu ,cảm ơn bạn nhiều",0,normal_auto,high,-4,cảm ơn|rất hay
Cảm ơn bác đã hướng dẫn tận tâm. Nhiệt tình. Dễ thương. Yêu bác. Hihi,0,normal_auto,high,-4,cảm ơn|dễ thương
"Áp lực học tập nhiều quá năm vừa rồi mình đã sợ thầy cô luôn, với lại các bạn, thầy cô thì đối xử phân biệt với những người giàu mấy người đó thì được yêu thương rồi đó, nghèo như tôi thì sao được, tôi cảm thấy không muốn đi học một chút nào cả tôi thật sự rất stress😢",1,depression_auto,high,9,áp lực|stress|áp lực học tập
"Thực sự đến đoạn 1:13 mình nổi da gà luôn, mình cũng bằng tầm tuổi c, và cũng học ngay cạnh trường c luôn. Mình dám chắc bất cứ nghề nào cũng có góc khuất kể cả những nghề mà người ta cho là cao quý nhất như công việc mà h mình đang làm.Nên mong cậu hãy cố gắng chắt lọc, đứng quá chìm đắm trong tiêu cực. Btw chúc mừng sinh nhật c, mong một ngày tớ cũng nổi tiếng và có một ver rap trong bài của c hehe <3",0,normal_auto,high,-4,ủng hộ|chúc mừng
"Chị Nhi hát hay quá.tính cách chị trình diễn cũng dễ thương,tưng tửng.có dịp em mời chị đi ăn nha😅",0,normal_auto,high,-4,hay quá|dễ thương
Em cảm ơn anh đã chia sẻ những kiến thức rất bổ ích❤❤❤❤❤,0,normal_auto,high,-4,cảm ơn|bổ ích
"Con cảm ơn bác rất nhiều vì những chia sẻ của bác. Con ngồi xem 1 tiếng mà hong thấy chán, bác nói chuyện dễ thương và dễ hiểu vô cùng",0,normal_auto,high,-4,cảm ơn|dễ thương
Cảm ơn thầy những bài học hay và bổ ích.❤❤❤,0,normal_auto,high,-4,cảm ơn|bổ ích
Hay và bổ ích lắm ạ cảm ơn anh rất nhiều 😄😄,0,normal_auto,high,-4,cảm ơn|bổ ích
Cuộc sống rất mệt mỏi nhưng nó đã vốn thế rồi có những lúc bất công nhưng mà một trò đùa cũng có thể lấy đi một mạng người mà 😣😣😣😣😣😭😭😭 nhưng tôi muốn chết nhưng mà tôi nghĩ là ko mêm 😭😣😣😣😣😣😭😭😭,1,depression_auto,high,8,muốn chết|mệt mỏi
Cam on kênh . Vam on đ đ phân tich rât đung va rât bổ ich,0,normal_auto,high,-4,cảm ơn|bổ ích
"Em hát rất hay đầy cảm xúc chạm đến trái tim❤ , cảm on em chúc em nhiều sk thành công e nhé!❤️🥰🫶🏻👏👍💐",0,normal_auto,high,-4,cảm ơn|rất hay
Cảm ơn chia sẻ tuyệt vời của Kim Ba! ❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️,0,normal_auto,high,-4,cảm ơn|tuyệt vời
"tôi luôn cảm thấy cô đơn trống vắng tự chịu mọi áp lực tổn thương , tự làm tổn thương mình, cảm thấy không ai hiểu mình luôn",1,depression_auto,high,12,cô đơn|áp lực|không ai hiểu|tổn thương
"Tuyệt vời quá , cảm ơn chương trình ! ❤❤❤❤❤❤❤❤❤",0,normal_auto,high,-4,cảm ơn|tuyệt vời
"Bài tập rất hay cảm ơn em, nhưng em dạy dễ tập hơn",0,normal_auto,high,-4,cảm ơn|rất hay
Những ca khúc rất hay rất ngọt ngào mẹ quá tuyệt vời bích ơi huyên hoàng chúc bích buổi trưa thật nhiều sk vui vẻ luôn thành công trên con đường âm nhạc ck quá tuyệt vời ♥️♥️♥️,0,normal_auto,high,-4,tuyệt vời|rất hay
Cảm ơn chị đã chia sẻ. Quá đáng yêu ạ ❤,0,normal_auto,high,-4,cảm ơn|đáng yêu
Cảm ơn bạn vì nội dung tuyệt vời của kênh. Hi vọng bạn luôn ra video và mong chúc cho kênh bạn ngày càng phát triển,0,normal_auto,high,-4,cảm ơn|tuyệt vời
Truyện rất hay và có kết cảm ơn tác giả nhiều,0,normal_auto,high,-4,cảm ơn|rất hay
Cảm ơn ông bà sinh rađưacon trai rất rất giỏi hiệuđơi!tuyệt với!!!.,0,normal_auto,high,-4,cảm ơn|tuyệt vời
"Chúc mừng người em hà tĩnh quê mình , anh và mọi người đều ủng hộ giọng hát tuyệt vời của em. Hi vọng em sẽ không ngừng cố gắng phát huy hơn nữa trong tương lai. Xin chúc mừng em Thái Học",0,normal_auto,high,-6,ủng hộ|tuyệt vời|chúc mừng
bác sĩ Wynn Tran đúng là vị bác sĩ tuyệt vời . Cho chúng ta biết về kiến thức y khoa sức khoẻ và cho chúng ta biết về kiến thức kinh nghiệm sống ở đời .không có bác sĩ nào làm được điều này . Tất cả mọi người cám ơn bác sĩ và rất biết ơn bác sĩ .,0,normal_auto,high,-4,cảm ơn|tuyệt vời
OK tin rất hay bổ ích xin cảm ơn!,0,normal_auto,high,-6,cảm ơn|bổ ích|rất hay
Xin cảm ơn bs đã chia sẻ những kiến thức bổ ích.,0,normal_auto,high,-4,cảm ơn|bổ ích
Xin chào chương trình đả chia xẻ bài nhạc nầy thật hay tôi rất thích bài nhạc người mang Tâm sự quá tuyệt vời tôi rất thích vì sao bài nhạc hay và cảm nhận của người đó sao giống như.... vậy tôi muốn nói cảm ơn bạn đã chia sẻ bài nhạc nầy..❤❤❤❤❤,0,normal_auto,high,-4,cảm ơn|tuyệt vời
"2 năm trước mik nghe nhạc này để ôn thi hsg ngữ văn cấp huyện , đạt giải 3 , 1 năm trước mik nghe để ôn thi vào lp 10 và mik đậu nv1 , 2 năm sau mik quay lại để ôn thi hsg địa mong mm 1 lần nữa mỉm cười với mik , cảm ơn ad đã ra 1 video hay ý nghĩa và động lực lớn ạ",0,normal_auto,high,-4,video hay|cảm ơn
Fim hay dung la tong tai phai ben vo cham lo tu luc gap nhau nn9 de thuong qua co mai toc rat dep❤❤❤❤❤❤❤ cam on đạo diễn ❤❤❤,0,normal_auto,high,-4,cảm ơn|dễ thương
Nghe hay quá tuyệt vời,0,normal_auto,high,-4,hay quá|tuyệt vời
Cám ơn anh mong anh ra thêm nhiều video hay như thế nửa,0,normal_auto,high,-4,video hay|cảm ơn
"Tôi rất thích nhạc tc Sơn ,nghe thấy tâm trạng mạnh mẽ ,vui ,tấm lòng rộng mở , tôi thích và vận dụng câu : tôi là... mà yêu quá đời. ; và câu : em hồn nhiên rồi em sẽ bình minh ; bài hát chỉ cho mình con đường đi tuyệt vời mạnh mẽ yêu đời ,yêu vạn vật , rất cảm ơn ông",0,normal_auto,high,-6,cảm ơn|tuyệt vời|yêu quá
Minh giam tien bo kg co bat cu mot thu gi de lam phai mo hinh anh dep vong ca dep cua than tuong ng thai hoc trong tim minh ca boi vong ca nay hinh anh nay da in dam nhieu nam trong trai tim minh cam on than tuong ng thai hoc da cho minh nghe nhung ca khuc qua tuyet voi voi mot vong ca nghe phai noi than thuong lai ngot ngao than tuong nhe ❤,0,normal_auto,high,-4,cảm ơn|tuyệt vời
cảm ơn chìa khóa thành công đã chia sẽ video hay.,0,normal_auto,high,-4,video hay|cảm ơn
"Ôi tuyệt vời quá bạn ơi. Thông điệp đến kịp lúc, mình đang trong giai đoạn này bạn ạ Cám ơn bạn rất nhiều.",0,normal_auto,high,-4,cảm ơn|tuyệt vời
"thật sự vô cùng cảm ơn podcast này của anh Long và anh Tun, câu chuyện của anh đúng là một chuỗi drama kinh khủng khiếp, mặc dù em chưa trải qua mối tình tan nát như vậy nhưng những hoàn cảnh và cảm xúc mà anh nói thật sự em vô cùng thấu hiểu và làm em như muốn khóc, em cảm thấy được chữa lành rất nhiều, thật may mắn khi được nghe chiếc podcast này :333",0,normal_auto,high,-4,cảm ơn|ủng hộ
"Anh có khả năng đi làm diễn viên các thể loại phim liệ quan đến giáo dục đc á, nếu là Anh Đạt thù chắc chắn sẽ nhiều người ủng hộ và em cũng vậy, cảm ơn anh, nhờ bộ phim này đã cho em tỉnh ngộ đc chính bản thân mình!❤❤❤",0,normal_auto,high,-4,cảm ơn|ủng hộ
Bí quyết là giao tiếp. Cảm ơn thầy về bài học tuyệt vời cho doanh nghiệp ạ.,0,normal_auto,high,-4,cảm ơn|tuyệt vời
Cám ơn bs Cương Kiến thức rất hay và bổ ích,0,normal_auto,high,-6,cảm ơn|bổ ích|rất hay
Chúc mừng Hoài Lâm đã tìm về chân tâm bản ngã! Tuyệt.,0,normal_auto,high,-4,ủng hộ|chúc mừng
có lũ bạn thật tận tâm 😇 hát cả bài buồn chúc mừng mình thất tình (Mình buồn mà chúng nó vui quá) 😇😇😇😇,0,normal_auto,high,-4,vui quá|chúc mừng
Duy Thành hát hay quá ! thật tuyệt vời với một giọng ca quá ngọt ngào ❤❤❤ .Duy Thành sẻ là ca sĩ tương lai trong lòng kháng giả 👍👍👍❤❤❤ .,0,normal_auto,high,-4,hay quá|tuyệt vời
"video của anh rất hay, giọng của anh rất giống giọng của anh hay Khám giọng trên tiktok. Có phải là anh không ạ . Toàn bộ video của anh đều rất tuyệt vời. Mong anh ra thêm video như thế này nữa",0,normal_auto,high,-4,tuyệt vời|rất hay
"Nhạc rất hay, hát rất tâm trạng, cảm ơn vì những bài hát ạ",0,normal_auto,high,-4,cảm ơn|rất hay
"Thầy tên Minh Niệm, mình cũng từng trầm cảm stress nặng sau khi chia tay mọi thứ thật kinh khủng. Và mình biết đến thầy, thầy đã lôi mình ra khỏi vực thẳm tâm tối ấy. Mang ơn thầy bằng tất cả lòng tôn kính.",1,depression_auto,high,8,trầm cảm|stress
