comment_text,label,weak_label,confidence,depression_score,matched_keywords,text,source,weight
2025 vẫn nghe ❤,0,,,0,,,,
"Tôi tỏ tình với William trong Nhà ái quốc Moriarty, ảnh xổ ra một tràng thính dài làm tôi phởn cả ngày:)",0,,,0,,,,
"Bạn ơi cho mình hỏi Là mình bị không ngủ được 28 năm nay rồi,có thời kỳ mất liền cả tháng,không ngủ được, không buồn ngủ,đôi khi có ngáp dài nhưng không buồn ngủ,vào giường 22h nằm trằn trọc,đến 1.2.3.4h sáng vẫn không ngủ được, nếu khi nào có ngủ được thì mê,linh tinh, nếu hôm nào mà không mê là hôm đó không hề ngủ được,+ thêm tiếng ve kêu trong tai 8 năm nay rồi nó làm cho M khổ quá,xin bạn cho biết ai trị được bệnh này để M tìm đến chữa, xin cảm ơn 🙏 Nguyễn thị Loan 51 tuổi",1,,,-2,,,,
Quá là hay đuôn ❤,0,uncertain,low,0,,,,
Cái mồm của anh Đạt kìa bất ổn quá😅,0,,,0,,,,
"Cả trăm truyện nội dung na ná như nhau . Tất cả đều nói xấu ngườ mẹ , hình mẫu này chắc là mẹ của tác giả ?",0,,,0,,,,
cái này để ngủ thì hợp lí,0,,,0,,,,
Sổ bạn viết gọi là sổ gì vậy ạaa,0,,,0,,,,
"Một ngày của mình như tra tấn Sáng thứ hai : thức sớm vào lớp ăn ság chỉ có thể ... ăn ít vì dành thời gian để học chào cờ mik lại là đội viên trưa thì về mới đc giải lao 2 tiếng rồi bị hối chiều vô học tiếp ... tối phải học nữa từ 6 h đến 8 giờ k đơn giản như bn nghỉ v một đứa lớp 3 từng trầm cảm muốn tự tử muốn ch3t cho r cho xg ngày nào cũng vậy tới thứ sáu như vừa bước ra trận chiến tâm lý với học ,làm việc , mẹ ba , chịu đựng rồi khóc ... chẳng bt mình cần gì chỉ muốn ngủ thật lâuuu thật ngon mơ j cũng đc Chỉ cần k học nữa đc xem đth hết ngày để tìm vẽ môn yêu thích và tìm thêu , thùa r uống nước chanh ngồi trên quán và thật thoải mái k nghe ai nói nữa chỉ muốn đeo tai nghe để chìm vào thế giới riêng mik chs với bn thân như chị em sinh đôi chs cùng người như bản sao chung sở thích , và mọi thứ...",1,depression_auto,high,10,tự tử|trầm cảm,,,
Ông ad chắc cùng thế hệ với mình. Mấy bạn GenZ khó biết lắm.,0,,,0,,,,
Ai từ vd ông kia đập chai dô đầu ông nọ r có ông khác lại chỉa súng hongg :))😵,0,,,-2,,,,
Bạn dừng lại đi.tôi thấy bác đoàn tư vấn hay quá,0,normal_auto,medium,-2,hay quá,,,
"Cảm ơn thầy đã chia sẻ, rất hay ạ",0,normal_auto,high,-4,cảm ơn|rất hay,,,
Mé ảo thặc đấy,0,,,0,,,,
Chị đã khóc còn hát😢,0,uncertain,low,0,,,,
cám ơn e nhé ... thích thì cứ học ko quan tâm nhiều,0,,,-2,,,,
rhymastic rap nghe não lòng quá =))),0,,,0,,,,
chị Vy thử thách cấm cười bằng phiêu tơ đi ạ,0,,,0,,,,
Thất tình nó lực hẳn😂,0,uncertain,low,0,,,,
Em thông cảm cho mẹ. Nhưng ở chung nhà em thì khó sử quá. Và ông ta có lương hằng tháng không. Nếu ông ta không có tiền lương thì cũng hơi mệt đó em,0,,,-2,,,,
