"annotation_id","annotator","created_at","final_label","id","lead_time","reviewer_note","row_id","text","updated_at"
1,"1","2026-06-16T09:21:24.584210Z","normal",1,842.44,"","s8-0000","Hay quá những lời nói ai cũng biết. Phải lì đòn lắm mới lên nói những lời chung chung mà người khác ko dám nói vì ko có gì mới.","2026-06-16T09:21:24.584229Z"
2,"1","2026-06-16T09:32:15.451716Z","depression",2,24.706,"","s8-0001","Bai nay hay qua,nghe ma tuong minh đang that tinh.","2026-06-16T09:32:15.451736Z"
3,"1","2026-06-16T09:32:44.051934Z","depression",3,19.855,"","s8-0002","video này đã đăng vào 1 năm trước, em tìm được trong lúc bản thân cũng đang mắc kẹt ở chính tâm trạng của mình, một sự trùng hợp có sắp xếp để gặp chị giang :p","2026-06-16T09:32:44.051972Z"
4,"1","2026-06-16T09:33:21.665472Z","exclude",4,34.463,"","s8-0003","-Chúc mọi người nghe nhạc vui vẻ : -Lyric : Ver 1 : Tiếng còi xe vang lên inh ỏi vỗ vai đánh thức phút trầm lắng Phố đã lên đèn chỉ muốn bon chen kịp về tới nhà đủ bình xăng Trong túi đếm còn vài đồng bạc lẻ chỉ đủ lót bụng cho bữa ăn tối Khi lương tháng như giọt cà phê có lẽ ngày mai phải vay mượn rồi… Đời công nhân, kiếp làm thuê… không có tiền chẳng ai nể Lặn lội tới đất sài thành dành dụm từng tí để gửi về quê Bao nhiêu điều còn dang dở chỉ biết thở dài rồi để đó Thực sự hôm nay người mệt mỏi lắm lỡ có gục ngã cũng mình tự lo Về căn trọ dù chật hẹp nhưng vẫn là không gian riêng Thả lỏng thân xác đang còn nặng nề với bao nỗi niềm chưa lên tiếng Muốn làm thằng nhỏ chạy nhảy rong chơi Mình đẫm mồ hôi nhưng vẫn thích Còn mồ hôi của hiện tại cứ thấm vị đắng hơi cay mù mịt Nhốt bản thân giữa bốn bức tường dẫu biết cô đơn sẽ làm rơi lệ… Muốn cách ly khỏi sự ồn ào trên tấm chiếu manh cho lưng mọc rễ Con đường đi tới thành công không có dấu chân của sự lười nhác Nhưng cho bản thân lười nhác hôm nay, vì tâm bủn rủn trước sự ngột ngạt Hook : Muốn buông bỏ cái nôi mệt mỏi nhưng mà cuộc sống không cho phép Đồng tiền thống trị tất cả mọi thứ nên tiếp cận nó mình còn hạn hẹp Đời vẫn còn đẹp nếu bản thân còn… sống thật với con người thật Chỉ mong suy tư hãy tới vừa đủ để lại ngày mai ta được thức giấc ( x2 ) Ver 2 : Năm tháng thì vẫn cứ rộng dặn lòng ráng sống nơi miền đất lạ Nơi xứ người lặn lội bương trải một hai đừng bước tới chuyện quá xa Giờ muốn lắm một sự quan tâm dù có nhỏ nhoi nhưng vẫn đủ ấm Chỉ đơn giản một câu hỏi han cần chỉ sướt mướt nhưng vẫn đủ thấm Nếu được chọn ẩn mình trong hoa… thì chỉ muốn thành hoa xương rồng Có thể chống nhiều thứ khắc nghiệt mặc kệ bão tố hay là mưa giông Sông dù nông hay là sâu động lực gia đình chắc tay lái… Cho dù cuộc sống đôi lúc thu hẹp nhưng vẫn không muốn phải mắc lòng ai Nhiều lúc người ta không hiểu… phán thẳng ta không biết điều Miệng đời là những con dao sắc bén thôi kệ không thích nói nhiều Chuyện tình cảm… hay tình nghĩa… nếu cảm thấy được thì ta tới Sống cho bản thân không phải thiên hạ nên cũng buông lơi cho đời thảnh thơi Muốn nghỉ ngơi nhưng tâm lại động… bao nỗi niềm còn đang chất đống Muốn xỏa hết cho đầu này trống đón luồng gió lộng nhưng trời lại giông Ta buông tay giữa màn đêm tối chỉ ta mới biết tay nằm ở đâu Cũng chỉ là ta điều khiển bàn tay nên thôi cũng cố lao vào bể dâu Hook : Muốn buông bỏ cái nôi mệt mỏi nhưng mà cuộc sống không cho phép Đồng tiền thống trị tất cả mọi thứ nên tiếp cận nó mình còn hạn hẹp Đời vẫn còn đẹp nếu bản thân còn… sống thật với con người thật Chỉ mong suy tư hãy tới vừa đủ để lại ngày mai ta được thức giấc ( x2 )","2026-06-16T09:33:21.665495Z"
5,"1","2026-06-16T09:33:37.233739Z","normal",5,5.178,"","s8-0004","Khúc cuối buồn cười xỉu 🤣🤣🤣","2026-06-16T09:33:37.233761Z"
6,"1","2026-06-16T09:35:03.322814Z","depression",6,59.693,"","s8-0005","minh cung tram cam nang co cgiay xac nhan ne nhung o len khon nạn o nen do thua cho benh tat","2026-06-16T09:35:03.322835Z"
7,"1","2026-06-16T09:35:22.881633Z","normal",7,17.887,"","s8-0006","Đừng hỏi:” 2020 còn ai xem không” vì chúng ta vẫn luôn ở đây và nghe bài này","2026-06-16T09:35:22.881661Z"
8,"1","2026-06-16T09:35:46.166109Z","normal",8,21.297,"","s8-0007","Nếu bạn bắt đầu nhìn video ở chân thì sẽ thấy quay theo chiều kim đồng hồ. Còn bạn nhìn trên phần đầu thì sẽ thấy ngược kim đồng hồ. Nhưng phải nhìn từ đầu video.","2026-06-16T09:35:46.166132Z"
9,"1","2026-06-16T09:36:19.374627Z","normal",9,30.305,"","s8-0008","Hồi lớp 5 e có đi thi một vài cuộc thi về tin học của tỉnh và e thấy ""ủa sao nó dễ vậy?"" xong đến lớp 6 lớp 7 lớp 8 e trở nên rụt rè hơn bao giờ hết lúc giơ tay phát biểu hay thuyết trình cũng vậy lúc đó e mới tự hỏi ""ủa sao hồi nhỏ mình đi thi 2 3 năm liền vẫn ko sao mà ta"" đến lúc đó e mới nhận ra là mình đang thật sự quá nhút nhát năm nay e lớp 9 nhờ xem được vd của a mà e đã có can đảm đi thi hsg 1 lần nữa cảm ơn a vì những đóng góp cho xã hội này","2026-06-16T09:36:19.374647Z"
10,"1","2026-06-16T09:37:26.625338Z","normal",10,53.198,"","s8-0009","Trung hoa dân quốc có trước cộng hoà nhân dân trung hoa, Đài Loan là phần còn lại của Trung hoa dân quốc và không cần tuyên bố độc lập vì nó đã độc lập.","2026-06-16T09:37:26.625366Z"
