review_bucket,comment_text,source_weak_label,source_confidence,source_depression_score,phobert_label,probability,prob_normal,prob_depression,need_review,suggested_label,final_label,reviewer_note,row_id
model_uncertain,Mink thấy stress nhẹ ❤,uncertain,low,3,depression,0.5000541806221008,0.4999458,0.5000542,True,depression,,,r5-0000
model_uncertain,"Ngày mình yêu nhậu đậm sâu và em nói yêu anh mãi k rời xa Đành lòng sao em người ơi mà em bỏ anh đi chẳng câu giả từ Lòng anh đau lắm người ơi có bao h người nhớ những lúc bên nhau Em bỏ anh thật sao khi anh đây vẫn còn yêu Thà người đừng hứa đợi anh để anh ngóng anh trông mỗi khi đc thăm Để giờ đến móc gặp gỡ ngta đã cho hay em theo người mới Tr ơi sao nỡ bỏ anh chốn này,thà người đừng hứa đợi anh trở về Để anh khóc hết nước mắt em ơi Khổ đau mình anh Ngày mà đưa anh lên xe em đã,chạy lại đến bên ôm anh thật lâu Và anh cũng biết cái ôm lúc đó sẽ chẳng đến bên anh thêm lần nào Còn đâu nữa tháng năm hạnh phúc Còn ai nữa để chia từng cơn vui buồn Và cũng mong em được hạnh phúc êm đềm",uncertain,low,0,normal,0.5002056062221527,0.5002055999999999,0.4997944,True,normal,,,r5-0001
model_uncertain,Con đang giống như cô gái ấy Thầy ạ con luôn muốn chết vì với con chết còn dể hơn sống 😞,depression_auto,medium,5,depression,0.5002085566520691,0.49979144,0.50020856,True,depression,,,r5-0002
model_uncertain,"Tôi lênh đênh ở tuổi 20 đến tuổi 25 hiện tại vẫn còn mong lung. 5 năm trôi qua vẫn mãi 1 suy nghĩ, ngọn núi cao nhất vẫn là chính bản thân mình",uncertain,low,0,depression,0.5002383589744568,0.49976164,0.50023836,True,depression,,,r5-0003
model_uncertain,"Lúc nào em nt em luôn gửi icon mặt cười, em buồn lm chứ nhưng em sợ anh lo cho em nên em luôn giấu anh😞",uncertain,low,0,depression,0.5002709031105042,0.49972910000000004,0.5002709,True,depression,,,r5-0004
model_uncertain,Tớ đang ngồi trên chuyến tàu thất bại đến ga trung chuyển,uncertain,low,0,depression,0.5007979273796082,0.4992021,0.5007979,True,depression,,,r5-0005
model_uncertain,"Tips để trị bệnh trì hoãn, lười biếng: 1. Động lực từ việc làm còn dang dở, chưa hoàn thành. —> Cứ làm thôi đừng suy nghĩ nhiều đến áp lực phải hoàn thành! 2. Tránh tình trạng Cạn năng lượng —>lên ds những việc ko nên làm trong thời gian làm việc.",depression_auto,medium,6,normal,0.500879168510437,0.5008791699999999,0.49912083,True,normal,,,r5-0006
model_uncertain,"E cũng đag bị như vậy, thề khó chịu thật sự 😢",uncertain,low,0,depression,0.5008927583694458,0.49910723999999995,0.50089276,True,depression,,,r5-0007
model_uncertain,"nói ổn là nói dối, ko buồn là nói điêu nhưng biết phải làm sao đây khi có lẽ tôi đã lỡ mất em rồi, cũng chẳng biết em có nhận ra tình cảm này của tôi hay không vì tôi đã chằng đủ dũng cảm để nói ra nhưng khoảng thời gian cùng nhau trò chuyện, cùng nhau vui đùa, cùng nhau chia sẻ mỗi khoảnh khắc trong cuộc sống đã khiến tôi rất vui, dù cho người bên cạnh em là ai tôi cũng cầu mong em sẽ luôn mĩm cười trong hạnh phúc, có lẽ vì tôi thiếu dũng khí khiến em không thể yên tâm cũng có thể ta chỉ có duyên gặp nhau chứ ko có cơ hội để bên nhau, dù sao cảm ơn em đã để lại trong tôi phần ký ức đẹp nhất của hai ta ^^",normal_auto,medium,-2,depression,0.5009282231330872,0.49907179999999995,0.5009282,True,depression,,,r5-0008
model_uncertain,"Dường như tôi cô đơn trong chính ngôi nhà mình, ai đã từng có cảm giác này??",uncertain,low,3,normal,0.5009357035160065,0.5009357,0.4990643,True,normal,,,r5-0009
model_uncertain,"Mình đã như vậy, hôm nay mình đã khóc rất nhiều khi xem clip.mình biết cảm xúc của con mỗi lần bị ba mẹ la không cho làm điều con muốn mình luôn nhìn biểu cảm con nhưng mình đã lờ đi cảm xúc đó bởi mình không biết phải đối diện và giải quyết với nó như thế nào, mình luôn bắt con phải làm theo ý mình với đứa con đầu của mình",uncertain,low,0,normal,0.5009694397449493,0.50096944,0.49903056,True,normal,,,r5-0010
model_uncertain,Buồn thì buồn nhưng mình là con trai phải chịu và vượt qua những nổi buồn đó thôi 😔,uncertain,low,0,normal,0.5010214149951935,0.50102141,0.49897859,True,normal,,,r5-0011
model_uncertain,K có j buồn og oi đc ngủ với 3e xjk như thế là hp roi,uncertain,low,0,depression,0.5010735392570496,0.49892645999999996,0.50107354,True,depression,,,r5-0012
model_uncertain,"Mình vừa nhạy cảm vừa tự ti và rụt rè, nhưng luôn cố gắng tỏ ra minh la ng k rụt rè, bạn hỏi, s bữa c bt, giờ lại khác qa z, đó la câu hỏi minh hk thể tl, hk phai minh dả tạo, mà minh đang cố gắng nhung nhiều lúc lại hk cố đc, nên mình như là ng 2 tính cách",uncertain,low,3,depression,0.5011619329452515,0.49883807,0.50116193,True,depression,,,r5-0013
model_uncertain,"Con cũng là người hướng nội Cô ạ. Rất e ngại giao tiếp xã hội và khó mở lòng với người khác, qua video của Cô con biết rằng trong quá khứ con là người đã gây ra cho người khác cảm giác tương tự và giờ đây con phải chịu quả báo. Con xin sám hối lỗi này, sửa đổi tính cách nâng đỡ cho người khác để người khác không bị cảm giác này ạ",normal_auto,medium,-2,depression,0.5011800527572632,0.49881995,0.50118005,True,depression,,,r5-0014
model_uncertain,"Thời điểm mình viết cmt này, dịch đang tràn lan, nơi mình đang sống cũng có ca nhiễm rồi, công việc phía trước chắc sẽ bấp bênh nhiều. Mệt mỏi có, thất vọng có, lo lắng có... nhưng mình tin rằng chúng ta sẽ vượt qua được!! Gửi những người đang đọc cmt này, hãy cố lên, còn ngày mai là còn cơ hội, nghỉ một lát rồi đứng dậy tiếp tục chiến đấu nhé❤️ yêu bạn❤️",uncertain,low,3,normal,0.5013822317123413,0.5013822299999999,0.49861777,True,normal,,,r5-0015
model_uncertain,Bất ngờ / giật mình: 5 lần,uncertain,low,0,depression,0.5014281868934631,0.4985718,0.5014282,True,depression,,,r5-0016
model_uncertain,Một tình yêu đấy là aii Mang cho anh bao niềm buồn Cho em nói hết câu trong lòng Bây giờ em còn yêu anh ko Anh biết mà em cứ bên người ấy Thật sự anh đau trong lòng Anh là aii Tại saooo lại còn người thứ 2 Em hứa em yêu anh hết đời Vậy mà Câu đó vẫn bỏ đi Bây giờ anh ko thể nói em vài câu Bây giờ anh sẽ bước đi Để cho em bên người em yêu Vậy thôi còn gì nữa Thả càng người càng thấy đau!😓,uncertain,low,0,depression,0.5014699101448059,0.4985301,0.5014699,True,depression,,,r5-0017
model_uncertain,Có những điều con không muốn nói thẳng với mẹ chỉ sợ mẹ mắng con...,uncertain,low,0,normal,0.5014838874340057,0.5014839,0.4985161,True,normal,,,r5-0018
model_uncertain,"VSTN ơi, cậu làm về ""bị chịu quá nhiều tổn thương nên không còn khóc vì đã quen rồi"" đc không ạ? ( cái này mô tả cuộc sống hiện tại của mình )",uncertain,low,1,depression,0.5016629695892334,0.49833702999999996,0.50166297,True,depression,,,r5-0019
model_uncertain,"Do cảm giác cô đơn nên chỉ cần ai quan tâm mình đều tưởng họ thật lòng cuối cùng nhận ra ko ai thật lòng, cô đơn trở thành tổn thương .",depression_auto,medium,6,normal,0.501668244600296,0.50166824,0.49833176,True,normal,,,r5-0020
model_uncertain,Đủ rồi nghe thay.tôi không chơi nữa. Cho dù các vị là ai đi thì tôi có điên tôi cũng biết là tôi điên. Chỉ là một cái bóng mà các vị dẫn dắt một người bình thường 60t không học thức không tôn giáo chút nữa là phá lát một gia đình cho dù nó không hoàn hảo. Và bản thân tôi cũng vậy nó không còn chỗ nào có thể cầm xé được nữa. Làm vậy chưa đủ hay sao ?bản chất của tôi là vậy và tôi tin rằng ai cũng thế ngoại trừ thằng điên. Để trở thành một cái gì đó mà phải trở thành một giống gì đó chưa được đặt tên thì thầy kiếm người khác đi tha cho chúng tôi tôi được k?làm ơn. Đừng làm tổn thương người nào thêm nữa. ❤❤❤cho tôi những giờ giải trí vui và nếu có $tôi sẽ khong quên mua sách của kênh để lúc nào rảnh coi lại được chứ? Chào thân ái!!!,uncertain,low,1,normal,0.5017839670181274,0.50178397,0.49821603,True,normal,,,r5-0021
model_uncertain,mỗi lần stress hay mệt j qua bên sốp dịu hơn hẳn☺,uncertain,low,3,depression,0.501954197883606,0.4980458,0.5019542,True,depression,,,r5-0022
model_uncertain,"Làm thế nào để thoát ra, khi chính mình cũng không muốn trò chuyện với bất kỳ ai, cứ lủi thủi và suy nghĩ về cái chết",uncertain,low,0,depression,0.5019818544387817,0.49801815000000005,0.50198185,True,depression,,,r5-0023
model_uncertain,Mệt mỏi quá r 😢,uncertain,low,3,depression,0.5024649500846863,0.49753505,0.50246495,True,depression,,,r5-0024
model_uncertain,"Mình có đứa em trai bị trầm cảm, 1 ngày ko bắt liên lạc được với em nó, xong cả nhà phải tá hỏa đi tìm, may sao mà tìm được và giờ đang để ở nhà theo dõi điều trị",depression_auto,medium,5,depression,0.5027982592582703,0.49720173999999995,0.50279826,True,depression,,,r5-0025
model_uncertain,"Nếu bạn không thể làm các chấm tròn xung quanh biến mất dù chỉ trong 1 tíc tắc, đặc biệt ở trẻ nhỏ, thì khả năng cao bạn có thể bị ảnh hưởng bởi chứng rối loạn tăng động, giảm chú ý đấy nhé!",uncertain,low,0,depression,0.5032737255096436,0.49672629999999995,0.5032737,True,depression,,,r5-0026
model_uncertain,"mình từng rất ghét mẹ,nhưng cũng rất thương mẹ,thương mẹ nhìu lắm,nhma mẹ lại ko hiểu mik j cả ,luôn la mắng ,trách móc mik,gđ chả ai quan tâm đến mik cả😥😥",uncertain,low,0,depression,0.5035311579704285,0.49646884,0.50353116,True,depression,,,r5-0027
model_uncertain,"Nhìn thấy Fake love nên mò vào nghe thì bỗng chốc tim hẫng một nhịp khi cái giai điệu ấy vang lên. Cái ngày đau đớn trong giá rét ấy cùng với nốt nhạc bay bổng khia khiến tôi không thể nào quên. Cái ngày tôi đau đớn gục ngã chỉ có một mình vực dậy. Làm sao chứ? Làm sao tôi quên đi được cái vẻ mặt bỡn đó? Tại sao vậy? Sao lúc tôi sắp giải thoát được cho bản thân, chính ngươi lại đứng chắn trước cánh cửa đó? Chị mày rất cần đi vệ sinh đấy mày có biết không thằng quỷ nhỏ?",uncertain,low,0,normal,0.5039167702198029,0.50391677,0.49608323,True,normal,,,r5-0028
model_uncertain,Tui là bị hết luôn,uncertain,low,0,depression,0.504634439945221,0.49536556,0.50463444,True,depression,,,r5-0029
model_uncertain,Hôm nay là ngày tệ nhất của mình nhưng khi mình nghe bài này mình đã khóc rất nhiều như một đứa con nít mới lên ba 😭,uncertain,low,0,depression,0.504665195941925,0.49533479999999996,0.5046652,True,depression,,,r5-0030
model_uncertain,Cảm ơn better version rất nhiều. Trước giờ mình cũng suy nghĩ quá nhiều làm bản thân mất đi nhiều năng lượng để từ đó mình đánh mất quá nhiều giá trị khác.,normal_auto,medium,-2,normal,0.5046674609184265,0.5046674600000001,0.49533254,True,normal,,,r5-0031
model_uncertain,Tình mình ngày nào Đẹp như trăng lung linh về đêm Mà sao nay xa xăm ôi mịt mù Biết nói nơi ai mà ta giờ xa lìa nhau Lòng ta nghe bâng khuâng xót xa Có tiếc nuối cũng xa nhau thật rồi Chuyện tình mình thật buồn Ngày vui thoáng gió Cuốn sương khói Còn đây con tim đau Không nhạt nhòa Tình đôi mình bây giờ Như mùa đông Trơ cành khô đứng lặng Tình đôi mình bây giờ như gió Trôi dạt không bến bờ Hỡi gió lang thang Ngày đêm về đâu Buồn không kiếp không nhà Chiều nay mình ta Ngồi đây thầm mơ Phút giây thần tiên ngày xưa Người yêu giờ đây buồn không hỡi Xin về đây hỡi người Này em phương xa trời Còn tuyết không Bài ca buồn anh Tặng em chiều nay Ước sao vọng vang về em Tình yêu cuồng say người yêu hỡi Bao ngày không xóa nhòa Hãy đến bên anh Chiều nay người ơi Tình ta sẽ muôn đời Chuyện tình mình thật buồn Ngày vui thoáng gió Cuốn sương khói Không nhạt nhòa Tình đôi mình bây giờ Như mùa đông Trơ cành khô đứng lặng Tình đôi mình bây giờ như gió Trôi dạt không bến bờ Hỡi gió lang thang Ngày đêm về đâu Buồn không kiếp không nhà Chiều nay mình ta Ngồi đây thầm mơ Phút giây thần tiên ngày xưa Người yêu giờ đây buồn không hỡi Xin về đây hỡi người Này em phương xa trời Còn tuyết không Bài ca buồn anh Tặng em chiều nay Ước sao vọng vang về em Tình yêu cuồng say người yêu hỡi Bao ngày không xóa nhòa Hãy đến bên anh Chiều nay người ơi Tình ta sẽ muôn đời Hãy đến bên anh Chiều nay người ơi Tình ta sẽ muôn đời,uncertain,low,0,normal,0.5050465762615204,0.50504658,0.49495342,True,normal,,,r5-0032
model_uncertain,Đôi khi buồn mà ko biết mình buồn vì chuyện j,uncertain,low,0,normal,0.5053675174713135,0.5053675200000001,0.49463248,True,normal,,,r5-0033
model_uncertain,sau cuộc sống ôn thi đại học ko như ý cuối cùng thì mình vào một môi trường ở quê nhà và ko mong muốn mình muốn đi xa và bây giờ mình lạc lối quá,uncertain,low,0,normal,0.5055548250675201,0.50555483,0.49444517,True,normal,,,r5-0034
model_uncertain,"Sợ hãi là bản năng, là tâm lí bình thường của mỗi người để bản thân an toàn. Nhưng ta cần thoát khỏi nỗi sợ để tìm một bản thân tốt hơn. Đối diện với sợ hãi, càng sợ thì càng phải làm.",uncertain,low,0,depression,0.5056801438331604,0.49431986000000006,0.50568014,True,depression,,,r5-0035
model_uncertain,Tớ thì bị la suốt ngày,uncertain,low,0,normal,0.5059456825256348,0.50594568,0.49405432,True,normal,,,r5-0036
model_uncertain,Hồi bé tôi không đủ lạc quan để có một ước mơ,uncertain,low,0,depression,0.5059641003608704,0.4940359,0.5059641,True,depression,,,r5-0037
model_uncertain,"Đúng là mình đang phải tập tĩnh tâm và luôn học cách kìm nén cảm xúc khi phải sông cùng với ng nóng nảy,bốc đồng,chỉ cần 1 chút bất đồng là xảy ra chuyện. Đúng là mình vẫn nghĩ 1 ngày nào đó mình ko chịu đc nữa sẽ rời đi,nhưng họ ko hiểu. Cảm ơn bạn",normal_auto,high,-4,normal,0.5059721767902374,0.50597218,0.49402782,True,normal,,,r5-0038
model_uncertain,"học trên lớp môn văn và bị giống như anh kia nhưng nặng hơn, áp dụng phương pháp này => thất bại",uncertain,low,0,depression,0.5062928199768066,0.4937072,0.5062928,True,depression,,,r5-0039
