comment_text,label,augmented,augmentation_method,source_text_sha256,augmentation_seed
"Bạn ơi cho mình hỏi Là mình bị không ngủ được 28 năm nay rồi,có thời kỳ mất liền cả tháng,không ngủ được, không buồn ngủ,đôi khi có ngáp dài nhưng không buồn ngủ,vào giường 22h nằm trằn trọc,đến 1.2.3.4h sáng vẫn không ngủ được, nếu khi nào có ngủ được thì mê,linh tinh, nếu hôm nào mà không mê là hôm đó không hề ngủ được,+ thêm tiếng ve kêu trong tai 8 năm nay rồi nó làm cho M khổ quá,xin bạn cho biết ai trị được bệnh này để M tìm đến chữa, xin cảm ơn 🙏 Nguyễn thị Loan 51 tuổi",1,False,original,cea2ab65c85a6559834bd2f5b26a3271a55077ce66fbeb067c4d358fad636280,42
"Bạn ơi cho mình hỏi Là mình bị không ngủ được 28 năm nay rồi,có thời kỳ mất liền cả tháng,không ngủ được, không buồn bã ngủ,đôi khi có ngáp dài nhưng không buồn ngủ,vào giường 22h nằm trằn trọc,đến 1.2.3.4h sáng vẫn không ngủ được, nếu khi nào có ngủ được thì mê,linh tinh, nếu hôm nào mà không mê là hôm đó không hề ngủ được,+ thêm tiếng ve kêu trong tai 8 năm nay rồi nó làm cho M khổ quá,xin bạn cho biết ai trị được bệnh này để M tìm đến chữa, xin cảm ơn 🙏 Nguyễn thị Loan 51 tuổi",1,True,synonym_replacement,cea2ab65c85a6559834bd2f5b26a3271a55077ce66fbeb067c4d358fad636280,42
"Bạn ơi cho mình hỏi Là mình bị không ngủ được 28 năm nay rồi,có thời kỳ mất liền cả tháng,không ngủ được, không buồn ngủ,đôi khi có ngáp dài nhưng dữ không buồn ngủ,vào giường 22h nằm trằn trọc,đến 1.2.3.4h sáng vẫn không ngủ được, nếu khi nào có ngủ được thì mê,linh tinh, nếu hôm nào mà không mê là hôm đó không hề ngủ được,+ thêm tiếng ve kêu trong tai 8 năm nay rồi nó làm cho M khổ quá,xin bạn cho biết ai trị được bệnh này để M tìm đến chữa, xin cảm ơn 🙏 Nguyễn thị Loan 51 tuổi",1,True,random_insertion,cea2ab65c85a6559834bd2f5b26a3271a55077ce66fbeb067c4d358fad636280,42
"Bạn ơi cho mình hỏi Là mình bị không ngủ được 28 năm nay rồi,có thời kỳ mất liền ngủ tháng,không ngủ được, không buồn ngủ,đôi khi có ngáp dài nhưng không buồn ngủ,vào giường 22h nằm trằn trọc,đến 1.2.3.4h sáng vẫn không cả được, nếu khi nào có ngủ được thì mê,linh tinh, nếu hôm nào mà không mê là hôm đó không hề ngủ được,+ thêm tiếng ve kêu trong tai 8 năm nay rồi nó làm cho M khổ quá,xin bạn cho biết ai trị được bệnh này để M tìm đến chữa, xin cảm ơn 🙏 Nguyễn thị Loan 51 tuổi",1,True,random_swap,cea2ab65c85a6559834bd2f5b26a3271a55077ce66fbeb067c4d358fad636280,42
"Một ngày của mình như tra tấn Sáng thứ hai : thức sớm vào lớp ăn ság chỉ có thể ... ăn ít vì dành thời gian để học chào cờ mik lại là đội viên trưa thì về mới đc giải lao 2 tiếng rồi bị hối chiều vô học tiếp ... tối phải học nữa từ 6 h đến 8 giờ k đơn giản như bn nghỉ v một đứa lớp 3 từng trầm cảm muốn tự tử muốn ch3t cho r cho xg ngày nào cũng vậy tới thứ sáu như vừa bước ra trận chiến tâm lý với học ,làm việc , mẹ ba , chịu đựng rồi khóc ... chẳng bt mình cần gì chỉ muốn ngủ thật lâuuu thật ngon mơ j cũng đc Chỉ cần k học nữa đc xem đth hết ngày để tìm vẽ môn yêu thích và tìm thêu , thùa r uống nước chanh ngồi trên quán và thật thoải mái k nghe ai nói nữa chỉ muốn đeo tai nghe để chìm vào thế giới riêng mik chs với bn thân như chị em sinh đôi chs cùng người như bản sao chung sở thích , và mọi thứ...",1,False,original,dd78edde4070813fa076abea0609b5aa072c7d70ea36b4fd9c2445597d031930,42
"Một ngày của mình như tra tấn Sáng thứ hai : thức sớm vào lớp ăn ság chỉ có thể ... ăn ít vì dành thời gian để học chào cờ mik lại là đội viên trưa thì về mới đc giải lao 2 tiếng rồi bị hối chiều vô học tiếp ... tối phải học nữa từ 6 h đến 8 giờ k đơn giản như bn nghỉ v một đứa lớp 3 từng trầm cảm muốn tự tử muốn ch3t cho r cho xg ngày nào cũng vậy tới thứ sáu như vừa bước ra trận chiến tâm lý với học ,làm việc , mẹ ba , chịu đựng rồi khóc ... chẳng bt mình cần gì chỉ muốn ngủ thật lâuuu thật ngon mơ j cũng đc Chỉ cần k học nữa đc xem đth hết ngày để tìm vẽ môn yêu thích và tìm thêu , thùa r uống nước chanh ngồi trên quán và thật thoải mái k nghe ai nói nữa chỉ muốn đeo tai nghe để chìm vào thế giới riêng mik chs với bn thân như lắm chị em sinh đôi chs cùng người như bản sao chung sở thích , và mọi thứ...",1,True,random_insertion,dd78edde4070813fa076abea0609b5aa072c7d70ea36b4fd9c2445597d031930,42
"Một ngày của mình như tra tấn Sáng thứ hai : thức sớm vào lớp ăn ság chỉ có thể ... ăn ít vì dành thời gian để học chào cờ mik lại là đội viên trưa thì về mới đc giải lao 2 tiếng rồi bị hối chiều nữa học tiếp ... tối phải học vô từ 6 h đến 8 giờ k đơn giản như bn nghỉ v một đứa lớp 3 từng trầm cảm muốn tự tử muốn ch3t cho r cho xg ngày nào cũng vậy tới thứ sáu như vừa bước ra trận chiến tâm lý với học ,làm việc , mẹ ba , chịu đựng rồi khóc ... chẳng bt mình cần gì chỉ muốn ngủ thật lâuuu thật ngon mơ j cũng đc Chỉ cần k học nữa đc xem đth hết ngày để tìm vẽ môn yêu thích và tìm thêu , thùa r uống nước chanh ngồi trên quán và thật thoải mái k nghe ai nói nữa chỉ muốn đeo tai nghe để chìm vào thế giới riêng mik chs với bn thân như chị em sinh đôi chs cùng người như bản sao chung sở thích , và mọi thứ...",1,True,random_swap,dd78edde4070813fa076abea0609b5aa072c7d70ea36b4fd9c2445597d031930,42
"Một ngày của mình như tra tấn Sáng thứ hai : thức sớm vào lớp ăn ság chỉ có thể ... ăn vì dành thời gian để học chào cờ mik lại là đội viên trưa thì về mới đc giải lao 2 bị hối vô tối phải học nữa từ 6 h đến 8 giờ k giản như bn nghỉ một đứa 3 từng trầm cảm muốn tự tử muốn ch3t r cho ngày nào tới thứ sáu như vừa bước ra chiến tâm lý với học ,làm việc , mẹ ba , đựng khóc chẳng bt mình gì chỉ thật lâuuu thật ngon mơ đc Chỉ cần k học nữa đc xem đth hết ngày để vẽ môn thích và tìm thêu thùa r uống nước chanh ngồi trên quán và thật thoải mái k nghe ai nói nữa chỉ muốn đeo tai nghe để chìm vào giới riêng chs với bn thân như chị em sinh đôi chs cùng như bản sao sở thích , mọi thứ...",1,True,random_deletion,dd78edde4070813fa076abea0609b5aa072c7d70ea36b4fd9c2445597d031930,42
"Em trống rỗng chênh vênh,em một mình không biết nên làm cái gì và sống ra làm sao... một mình em sống thật vô nghĩa...em mệt mỏi chán chường cả khi em không làm gì... chỉ nằm đó nhìn khoảng không mà nước mắt tự chảy... haizzzzzzz",1,False,original,579136753b5f90a5d769f7a7031c7a413b2378fb46748aeeea0c6796148bb174,42
"Em trống rỗng chênh vênh,em một mình không biết nên làm cái gì và sống ra làm sao... một mình em sống quá thật vô nghĩa...em mệt mỏi chán chường cả khi em không làm gì... chỉ nằm đó nhìn khoảng không mà nước mắt tự chảy... haizzzzzzz",1,True,random_insertion,579136753b5f90a5d769f7a7031c7a413b2378fb46748aeeea0c6796148bb174,42
"Em trống rỗng chênh vênh,em một mình không biết nên làm cái gì và sống ra làm sao... một mình em sống thật vô cả mệt mỏi chán chường nghĩa...em khi em không làm gì... chỉ nằm đó nhìn khoảng không mà nước mắt tự chảy... haizzzzzzz",1,True,random_swap,579136753b5f90a5d769f7a7031c7a413b2378fb46748aeeea0c6796148bb174,42
"Em trống rỗng chênh vênh,em một mình không biết nên làm cái gì và sống ra làm sao... mình em sống thật vô nghĩa...em mệt mỏi chán chường khi em không làm gì... chỉ đó nhìn khoảng không nước mắt tự chảy... haizzzzzzz",1,True,random_deletion,579136753b5f90a5d769f7a7031c7a413b2378fb46748aeeea0c6796148bb174,42
Con đang rất bế tắc. Cảm ơn thầy đã khai sáng cho con. Trong lúc con tâm tối nhất. Con đã bỏ qua rất nhiều thứ để làm người đó hài lòng nhưng cái con nhận lại chỉ là một con số 0 tròn trỉnh. Con cũng đã đánh mất đi bản thân mình. Lần này là lần cuối con quyết định sẽ từ bỏ.,1,False,original,ceb47c057026ad1bf37c5b3d2045a515a21ade84013dacdc1fa7e9bb7154bea5,42
Con đang rất bế tắc. Cảm ơn thầy đã khai sáng cho con. Trong lúc con tâm tối nhất. Con đã bỏ qua rất nhiều thứ để làm người đó hài lòng nhưng cái con nhận lại chỉ là một con số 0 tròn trỉnh. Con cũng đã đánh quá mất đi bản thân mình. Lần này là lần cuối con quyết định sẽ từ bỏ.,1,True,random_insertion,ceb47c057026ad1bf37c5b3d2045a515a21ade84013dacdc1fa7e9bb7154bea5,42
Con đang rất bế tắc. Cảm ơn thầy đã khai sáng cho con. là lúc con tâm tối nhất. Con đã bỏ qua rất nhiều thứ để làm người đó hài lòng nhưng cái con nhận lại chỉ Trong một con số 0 tròn trỉnh. Con cũng đã đánh mất đi bản thân mình. Lần này là lần cuối con quyết định sẽ từ bỏ.,1,True,random_swap,ceb47c057026ad1bf37c5b3d2045a515a21ade84013dacdc1fa7e9bb7154bea5,42
Con đang bế tắc. Cảm ơn thầy đã sáng cho con. Trong lúc con tâm tối nhất. Con đã bỏ qua rất nhiều thứ để làm đó hài lòng nhưng cái con nhận lại chỉ là một số 0 tròn trỉnh. Con cũng đã đánh đi bản thân Lần này là lần cuối con quyết sẽ từ bỏ.,1,True,random_deletion,ceb47c057026ad1bf37c5b3d2045a515a21ade84013dacdc1fa7e9bb7154bea5,42
"Em thường hay overthinking và đôi lúc nó làm ảnh hưởng tới cuộc sống của em, khiến em rất mệt mỏi và bất lực. Em vừa mới thử phương pháp đầu của anh và thấy khá hiệu quả, em sẽ cố gắng làm nhiều hơn. Em sẽ thử phương pháp thứ 2 để có thể hạn chế overthinkinh nhiều nhất có thể. Em cám ơn anh nhiều ạ!",1,False,original,1cbb8c8b1bf2a833ff7f42d948b162a9001ff8ff1d5787e74e51d329268c9789,42
"Em thường hay overthinking và đôi lúc nó làm ảnh hưởng tới cuộc sống của em, khiến em rất mệt mỏi và bất lực. Em vừa mới thử cực phương pháp đầu của anh và thấy khá hiệu quả, em sẽ cố gắng làm nhiều hơn. Em sẽ thử phương pháp thứ 2 để có thể hạn chế overthinkinh nhiều nhất có thể. Em cám ơn anh nhiều ạ!",1,True,random_insertion,1cbb8c8b1bf2a833ff7f42d948b162a9001ff8ff1d5787e74e51d329268c9789,42
"Em thường hay overthinking và đôi lúc nó làm ảnh hưởng thứ cuộc sống của em, khiến em rất mệt mỏi và bất lực. Em vừa mới thử phương pháp đầu của anh và thấy khá hiệu quả, em sẽ cố gắng làm nhiều hơn. Em sẽ thử phương pháp tới 2 để có thể hạn chế overthinkinh nhiều nhất có thể. Em cám ơn anh nhiều ạ!",1,True,random_swap,1cbb8c8b1bf2a833ff7f42d948b162a9001ff8ff1d5787e74e51d329268c9789,42
"Em thường hay overthinking và đôi lúc nó làm ảnh hưởng tới cuộc sống của em, khiến em rất mệt mỏi và bất lực. Em vừa mới thử phương pháp đầu của và thấy khá hiệu quả, em sẽ gắng làm nhiều hơn. sẽ thử phương pháp thứ 2 để có thể hạn chế overthinkinh nhiều nhất có thể. Em cám ơn anh nhiều ạ!",1,True,random_deletion,1cbb8c8b1bf2a833ff7f42d948b162a9001ff8ff1d5787e74e51d329268c9789,42
Cuộc sống thật trống rỗng và mệt mỏi :))) mọi thứ áp lực đều đặt lên vài. Có ai có thể chia sẻ được những nỗi mệt mỏi này. Tôi thèm được một cuộc đời cô đơn,1,False,original,e72b8c5fdb49ae61d137d6af33ee347f25809b62b554bb03d78dfcc8495cb43e,42
Cuộc sống thật trống rỗng và mệt mỏi :))) mọi thứ áp lực đều đặt lên vài. Có ai có thể chia sẻ được những lắm nỗi mệt mỏi này. Tôi thèm được một cuộc đời cô đơn,1,True,random_insertion,e72b8c5fdb49ae61d137d6af33ee347f25809b62b554bb03d78dfcc8495cb43e,42
Cuộc sống thật trống rỗng và mệt mỏi :))) mọi thứ áp lực đều đặt lên vài. Có ai có thể chia sẻ được những một mệt mỏi này. Tôi thèm được nỗi cuộc đời cô đơn,1,True,random_swap,e72b8c5fdb49ae61d137d6af33ee347f25809b62b554bb03d78dfcc8495cb43e,42
Cuộc thật trống rỗng mệt mỏi :))) mọi thứ áp lực đều vài. Có ai có thể chia sẻ được những mệt mỏi này. Tôi thèm được một cuộc đời cô đơn,1,True,random_deletion,e72b8c5fdb49ae61d137d6af33ee347f25809b62b554bb03d78dfcc8495cb43e,42
Mình cũng đã theo tập của kênh nhiều rồi thấy cũng nhẹ nhõm. Nhưng xin HD chỉ thêm làm sao chỗ giấc ngủ vào sâu được và đầu giảm nghĩ lung tung,1,False,original,f86520fdd53adcfb87b3e0664d114019eaab49dafa34b07a0f402e0aa4895b67,42
Mình cũng đã theo tập của kênh nhiều rồi thấy cũng nhẹ nhõm. Nhưng xin HD chỉ thêm làm vô sao chỗ giấc ngủ vào sâu được và đầu giảm nghĩ lung tung,1,True,random_insertion,f86520fdd53adcfb87b3e0664d114019eaab49dafa34b07a0f402e0aa4895b67,42
Mình và đã theo tập của kênh nhiều rồi thấy cũng nhẹ nhõm. Nhưng xin HD chỉ thêm làm sao chỗ giấc ngủ vào sâu được cũng đầu giảm nghĩ lung tung,1,True,random_swap,f86520fdd53adcfb87b3e0664d114019eaab49dafa34b07a0f402e0aa4895b67,42
Mình cũng đã theo tập của kênh nhiều rồi thấy cũng nhẹ nhõm. Nhưng xin HD thêm làm chỗ ngủ vào sâu được và đầu giảm nghĩ lung tung,1,True,random_deletion,f86520fdd53adcfb87b3e0664d114019eaab49dafa34b07a0f402e0aa4895b67,42
"S ai cx nói mik là ebe của nhà,v thì....cs phải ko,s chỉ qtam đến e họ thoi v...hiểu con chút dc ko,hóa ra đây chỉ là lời nói dối... vẫn chx tht sự biết đâu là thật...hóa ra...mik chỉ là một ng vô hình để họ qtam",1,False,original,ad8f331a3b2c417a92d5e6630f5fa5ad9289336bd2413ad36973651c825596f9,42
