comment_text,label,weak_label,confidence,depression_score,matched_keywords,source,weight,need_review
2025 vẫn nghe ❤,0,,,0,,human_gold,3,
"Tôi tỏ tình với William trong Nhà ái quốc Moriarty, ảnh xổ ra một tràng thính dài làm tôi phởn cả ngày:)",0,,,0,,human_gold,3,
"Bạn ơi cho mình hỏi Là mình bị không ngủ được 28 năm nay rồi,có thời kỳ mất liền cả tháng,không ngủ được, không buồn ngủ,đôi khi có ngáp dài nhưng không buồn ngủ,vào giường 22h nằm trằn trọc,đến 1.2.3.4h sáng vẫn không ngủ được, nếu khi nào có ngủ được thì mê,linh tinh, nếu hôm nào mà không mê là hôm đó không hề ngủ được,+ thêm tiếng ve kêu trong tai 8 năm nay rồi nó làm cho M khổ quá,xin bạn cho biết ai trị được bệnh này để M tìm đến chữa, xin cảm ơn 🙏 Nguyễn thị Loan 51 tuổi",1,,,-2,,human_gold,3,
Quá là hay đuôn ❤,0,uncertain,low,0,,human_gold,3,
Cái mồm của anh Đạt kìa bất ổn quá😅,0,,,0,,human_gold,3,
"Cả trăm truyện nội dung na ná như nhau . Tất cả đều nói xấu ngườ mẹ , hình mẫu này chắc là mẹ của tác giả ?",0,,,0,,human_gold,3,
cái này để ngủ thì hợp lí,0,,,0,,human_gold,3,
Sổ bạn viết gọi là sổ gì vậy ạaa,0,,,0,,human_gold,3,
"Một ngày của mình như tra tấn Sáng thứ hai : thức sớm vào lớp ăn ság chỉ có thể ... ăn ít vì dành thời gian để học chào cờ mik lại là đội viên trưa thì về mới đc giải lao 2 tiếng rồi bị hối chiều vô học tiếp ... tối phải học nữa từ 6 h đến 8 giờ k đơn giản như bn nghỉ v một đứa lớp 3 từng trầm cảm muốn tự tử muốn ch3t cho r cho xg ngày nào cũng vậy tới thứ sáu như vừa bước ra trận chiến tâm lý với học ,làm việc , mẹ ba , chịu đựng rồi khóc ... chẳng bt mình cần gì chỉ muốn ngủ thật lâuuu thật ngon mơ j cũng đc Chỉ cần k học nữa đc xem đth hết ngày để tìm vẽ môn yêu thích và tìm thêu , thùa r uống nước chanh ngồi trên quán và thật thoải mái k nghe ai nói nữa chỉ muốn đeo tai nghe để chìm vào thế giới riêng mik chs với bn thân như chị em sinh đôi chs cùng người như bản sao chung sở thích , và mọi thứ...",1,depression_auto,high,10,tự tử|trầm cảm,human_gold,3,
Ông ad chắc cùng thế hệ với mình. Mấy bạn GenZ khó biết lắm.,0,,,0,,human_gold,3,
Ai từ vd ông kia đập chai dô đầu ông nọ r có ông khác lại chỉa súng hongg :))😵,0,,,-2,,human_gold,3,
Bạn dừng lại đi.tôi thấy bác đoàn tư vấn hay quá,0,normal_auto,medium,-2,hay quá,human_gold,3,
"Cảm ơn thầy đã chia sẻ, rất hay ạ",0,normal_auto,high,-4,cảm ơn|rất hay,human_gold,3,
Mé ảo thặc đấy,0,,,0,,human_gold,3,
Chị đã khóc còn hát😢,0,uncertain,low,0,,human_gold,3,
cám ơn e nhé ... thích thì cứ học ko quan tâm nhiều,0,,,-2,,human_gold,3,
rhymastic rap nghe não lòng quá =))),0,,,0,,human_gold,3,
chị Vy thử thách cấm cười bằng phiêu tơ đi ạ,0,,,0,,human_gold,3,
Thất tình nó lực hẳn😂,0,uncertain,low,0,,human_gold,3,
Em thông cảm cho mẹ. Nhưng ở chung nhà em thì khó sử quá. Và ông ta có lương hằng tháng không. Nếu ông ta không có tiền lương thì cũng hơi mệt đó em,0,,,-2,,human_gold,3,
"Hôm nọ đi chơi cùng đám bạn, có một cô bạn cảm thán rằng tại sao có nhiều người trông vẫn bình thường và chẳng có áp lực gì mà bỗng một ngày vẫn mắc trầm cảm rồi tự tử. Mình thì chưa đến mức mắc trầm cảm, chỉ là nhiều lúc hay chìm vào buồn bã và cô đơn, nhưng mình rất hiểu cho những con người trông có vẻ ""bình thường"" mà cô bạn nhắc tới. Nhiều khi người ta tỏ ra bình thường nhưng thế giới bên trong người ta đang xao động như thế nào thì mình chẳng thể biết được. Có những khoảnh khắc lo âu, buồn bã mà chẳng thể giãi bày với bất kỳ ai. Cái nỗi buồn cùng cực kèm theo sự không tìm thấy hi vọng sống một ngày nào đó có thể lôi người ta đi bất cứ lúc nào. Không phải cứ trải qua những biến động khủng khiếp mới có nguy cơ bị trầm cảm, đôi khi thiếu đi sự đồng hành và sẻ chia đúng cách của những người xung quanh cũng có thể là một nguồn cơn tinh vi đưa người ta đến gần hơn với cái chết",0,depression_auto,high,19,tự tử|trầm cảm|cô đơn|áp lực|lo âu,human_gold,3,
Kênh cho mình hỏi là mình muốn bắt đầu học lại tiếng Anh từ con số mục tiêu là đc 9 điểm anh có cách nào hiệu quả không❤❤,0,,,0,,human_gold,3,
"Thật tuyệt vời nay Đan Nguyên đã trở về Việt Nam thực hiện MV “Còn Lại Nỗi Cô Đơn” này.🥰 MV được ghi hình tại Sài Gòn, những cảnh quay phố phường quen thuộc, góc phố Tàu sầm uất… chắc hẳn khiến khán giả Việt Nam rất thích thú khi nơi đây có sự xuất hiện của Ngôi sao Idol mà bao fans hằng mong ước gặp được Anh!😍 Đây là tín hiệu đáng mừng, hi vọng tương lai không xa Đan Nguyên sẽ trở lại Việt Nam thực hiện những Liveshow để khán giả được nghe anh hát trực tiếp tại quê nhà!❤️🙏🥰 Chúc Idol Đan Nguyên và ekip nhiều sức khỏe, có thêm nhiều dự án âm nhạc điện ảnh như thế này nữa và gặt hái được nhiều thành công!💯🥳🎉",0,uncertain,low,1,cô đơn|tuyệt vời,human_gold,3,
